pmid,title,abstract,journal,year,authors
35151796,Brain-gut-microbiota axis in depression: A historical overview and future directions.,"Depression is the most common mental disorder and a leading cause of disability worldwide. Despite abundant research, the precise mechanisms underlying the pathophysiology of depression remain elusive. Accumulating evidence from preclinical and clinical studies suggests that alterations in the gut microbiota, microbe-derived short-chain fatty acids, D-amino acids and metabolites play a key role in the pathophysiology of depression via the brain-gut-microbiota axis, including the neural and immune systems. Notably, the brain-gut-microbiota axis might play a crucial role in susceptibility versus resilience in rodents exposed to stress. Vagotomy is reported to block depression-like phenotypes in rodents after fecal microbiota transplantation of ""depression-related"" microbiome, suggesting that the vagus nerve influences depression through the brain-gut-microbiota axis. In this article, we review recent findings regarding the brain-gut-microbiota axis in depression and discuss its potential as a therapeutic target for depression.",Brain research bulletin,2022,Lijia Chang; Yan Wei; Kenji Hashimoto
35044528,"The microbiota-gut-brain axis: pathways to better brain health. Perspectives on what we know, what we need to investigate and how to put knowledge into practice.","The gut and brain link via various metabolic and signalling pathways, each with the potential to influence mental, brain and cognitive health. Over the past decade, the involvement of the gut microbiota in gut-brain communication has become the focus of increased scientific interest, establishing the microbiota-gut-brain axis as a field of research. There is a growing number of association studies exploring the gut microbiota's possible role in memory, learning, anxiety, stress, neurodevelopmental and neurodegenerative disorders. Consequently, attention is now turning to how the microbiota can become the target of nutritional and therapeutic strategies for improved brain health and well-being. However, while such strategies that target the gut microbiota to influence brain health and function are currently under development with varying levels of success, still very little is yet known about the triggers and mechanisms underlying the gut microbiota's apparent influence on cognitive or brain function and most evidence comes from pre-clinical studies rather than well controlled clinical trials/investigations. Filling the knowledge gaps requires establishing a standardised methodology for human studies, including strong guidance for specific focus areas of the microbiota-gut-brain axis, the need for more extensive biological sample analyses, and identification of relevant biomarkers. Other urgent requirements are new advanced models for in vitro and in vivo studies of relevant mechanisms, and a greater focus on omics technologies with supporting bioinformatics resources (training, tools) to efficiently translate study findings, as well as the identification of relevant targets in study populations. The key to building a validated evidence base rely on increasing knowledge sharing and multi-disciplinary collaborations, along with continued public-private funding support. This will allow microbiota-gut-brain axis research to move to its next phase so we can identify realistic opportunities to modulate the microbiota for better brain health.",Cellular and molecular life sciences : CMLS,2022,Anirikh Chakrabarti; Lucie Geurts; Lesley Hoyles; Patricia Iozzo; Aletta D Kraneveld; Giorgio La Fata; Michela Miani; Elaine Patterson; Bruno Pot; Colette Shortt; David Vauzour
36099873,The microbiota-gut-brain axis in sleep disorders.,"Sleep is a complex physiological process and is a critical determinant of physical and mental health. In the past decades, significant progress has been made in understanding the neural mechanisms of sleep and awakening. However, the initiation and maintenance of the sleep-wake cycle is regulated not only by the central system but is also affected by signals from peripheral tissues. Growing evidence shows that the microbiota-gut-brain axis contributes to the regulation of sleep behavior both directly and indirectly and may play a critical role in the etiology and pathogenesis of sleep disorders. Sleep deprivation leads to dysfunction of gut microbiota and sleep disorders are accompanied by altered gut microbiota composition. In this review, we describe the bidirectional relationships between sleep and gut microbiota and summarize the abnormal characteristics of gut bacteria in distinct conditions including sleep disturbances, sleep disorders and sleep disorders comorbid with neuropsychiatric disorders. We also examine the potential routes of microbiota-gut-brain axis in sleep and gut microbiome interactions, including metabolic, immune, and neural pathways, and propose microbiota-targeted interventions for improving sleep. Manipulating gut microbiota may be a promising avenue for the development of novel interventions for sleep disorders.",Sleep medicine reviews,2022,Zhe Wang; Zhong Wang; Tangsheng Lu; Wenhao Chen; Wei Yan; Kai Yuan; Le Shi; Xiaoxing Liu; Xinyu Zhou; Jie Shi; Michael V Vitiello; Ying Han; Lin Lu
35194166,"A systematic review of gut microbiota composition in observational studies of major depressive disorder, bipolar disorder and schizophrenia.","The emerging understanding of gut microbiota as 'metabolic machinery' influencing many aspects of physiology has gained substantial attention in the field of psychiatry. This is largely due to the many overlapping pathophysiological mechanisms associated with both the potential functionality of the gut microbiota and the biological mechanisms thought to be underpinning mental disorders. In this systematic review, we synthesised the current literature investigating differences in gut microbiota composition in people with the major psychiatric disorders, major depressive disorder (MDD), bipolar disorder (BD) and schizophrenia (SZ), compared to 'healthy' controls. We also explored gut microbiota composition across disorders in an attempt to elucidate potential commonalities in the microbial signatures associated with these mental disorders. Following the PRISMA guidelines, databases were searched from inception through to December 2021. We identified 44 studies (including a total of 2510 psychiatric cases and 2407 controls) that met inclusion criteria, of which 24 investigated gut microbiota composition in MDD, seven investigated gut microbiota composition in BD, and 15 investigated gut microbiota composition in SZ. Our syntheses provide no strong evidence for a difference in the number or distribution (α-diversity) of bacteria in those with a mental disorder compared to controls. However, studies were relatively consistent in reporting differences in overall community composition (β-diversity) in people with and without mental disorders. Our syntheses also identified specific bacterial taxa commonly associated with mental disorders, including lower levels of bacterial genera that produce short-chain fatty acids (e.g. butyrate), higher levels of lactic acid-producing bacteria, and higher levels of bacteria associated with glutamate and GABA metabolism. We also observed substantial heterogeneity across studies with regards to methodologies and reporting. Further prospective and experimental research using new tools and robust guidelines hold promise for improving our understanding of the role of the gut microbiota in mental and brain health and the development of interventions based on modification of gut microbiota.",Molecular psychiatry,2022,A J McGuinness; J A Davis; S L Dawson; A Loughman; F Collier; M O'Hely; C A Simpson; J Green; W Marx; C Hair; G Guest; M Mohebbi; M Berk; D Stupart; D Watters; F N Jacka
36093196,Gut microbiota: Linking nutrition and perinatal depression.,"Perinatal depression is a mood disorder that is reported in women during pregnancy (prenatal) and after childbirth (postnatal). The onset of perinatal depression is associated with changes in reproductive hormones, stress hormones and neurosteroids. These chemical compounds can be modulated by the gut microbiota, which may affect maternal mental health during the perinatal period <i>via</i> the gut-brain-axis. Recent studies suggest that nutritional and dietary interventions (vitamin D, ω-3 fatty acids, iron, and fiber) effectively prevent or mitigate maternal depression and anxiety, but their efficacy is confounded by various factors, including the gut microbiota. Probiotics are efficacious in maintaining microbiota homeostasis, and thus, have the potential to modulate the development of perinatal mood disorders, despite no evidence in human. Therefore, clinical trials are warranted to investigate the role of probiotic supplementation in perinatal depression and behavioral changes. This article reviews the interplay between nutrition, gut microbiota and mood and cognition, and the evidence suggesting that probiotics affect the onset and development of perinatal depression.",Frontiers in cellular and infection microbiology,2022,Jia Song; Bi Zhou; Juntao Kan; Guangya Liu; Sheng Zhang; Liang Si; Xianping Zhang; Xue Yang; Junhua Ma; Junrui Cheng; Yongde Yang; Xiaobo Liu
35631252,Medicinal Plants and Their Impact on the Gut Microbiome in Mental Health: A Systematic Review.,"Various neurocognitive and mental health-related conditions have been associated with the gut microbiome, implicating a microbiome-gut-brain axis (MGBA). The aim of this systematic review was to identify, categorize, and review clinical evidence supporting medicinal plants for the treatment of mental disorders and studies on their interactions with the gut microbiota.This review included medicinal plants for which clinical studies on depression, sleeping disorders, anxiety, or cognitive dysfunction as well as scientific evidence of interaction with the gut microbiome were available. The studies were reported using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement.Eighty-five studies met the inclusion criteria and covered thirty mental health-related medicinal plants with data on interaction with the gut microbiome.Only a few studies have been specifically designed to assess how herbal preparations affect MGBA-related targets or pathways. However, many studies provide hints of a possible interaction with the MGBA, such as an increased abundance of health-beneficial microorganisms, anti-inflammatory effects, or MGBA-related pathway effects by gut microbial metabolites. Data for <i>Panax ginseng</i>, <i>Schisandra chinensis</i>, and <i>Salvia rosmarinus</i> indicate that the interaction of their constituents with the gut microbiota could mediate mental health benefits. Studies specifically assessing the effects on MGBA-related pathways are still required for most medicinal plants.",Nutrients,2022,Eva-Maria Pferschy-Wenzig; Manuela R Pausan; Karin Ardjomand-Woelkart; Stefanie Röck; Ramy M Ammar; Olaf Kelber; Christine Moissl-Eichinger; Rudolf Bauer
35444255,"Multi-omics analyses of serum metabolome, gut microbiome and brain function reveal dysregulated microbiota-gut-brain axis in bipolar depression.","The intricate processes of microbiota-gut-brain communication in modulating human cognition and emotion, especially in the context of mood disorders, have remained elusive. Here we performed faecal metagenomic, serum metabolomics and neuroimaging studies on a cohort of 109 unmedicated patients with depressed bipolar disorder (BD) patients and 40 healthy controls (HCs) to characterise the microbial-gut-brain axis in BD. Across over 12,000 measured metabolic features, we observed a large discrepancy (73.54%) in the serum metabolome between BD patients and HCs, spotting differentially abundant microbial-derived neuroactive metabolites including multiple B-vitamins, kynurenic acid, gamma-aminobutyric acid and short-chain fatty acids. These metabolites could be linked to the abundance of gut microbiota presented with corresponding biosynthetic potentials, including Akkermansia muciniphila, Citrobacter spp. (Citrobacter freundii and Citrobacter werkmanii), Phascolarctobacterium spp., Yersinia spp. (Yersinia frederiksenii and Yersinia aleksiciae), Enterobacter spp. (Enterobacter cloacae and Enterobacter kobei) and Flavobacterium spp. Based on functional neuroimaging, BD-related neuroactive microbes and metabolites were discovered as potential markers associated with BD-typical features of functional connectivity of brain networks, hinting at aberrant cognitive function, emotion regulation, and interoception. Our study combines gut microbiota and neuroactive metabolites with brain functional connectivity, thereby revealing potential signalling pathways from the microbiota to the gut and the brain, which may have a role in the pathophysiology of BD.",Molecular psychiatry,2022,Zhiming Li; Jianbo Lai; Peifen Zhang; Jiahong Ding; Jiajun Jiang; Chuanfa Liu; Huimin Huang; Hefu Zhen; Caixi Xi; Yuzhe Sun; Lingling Wu; Lifang Wang; Xingle Gao; Yan Li; Yaoyang Fu; Zhuye Jie; Shenghui Li; Danhua Zhang; Yiqing Chen; Yiyi Zhu; Shaojia Lu; Jing Lu; Dandan Wang; Hetong Zhou; Xiuxia Yuan; Xue Li; Lijuan Pang; Manli Huang; Huanming Yang; Wenwei Zhang; Susanne Brix; Karsten Kristiansen; Xueqin Song; Chao Nie; Shaohua Hu
35819136,"Antibiotics and mental health: The good, the bad and the ugly.","Antibiotics are recognised as, on occasion, producing psychiatric side effects, most notably depression and anxiety. Apart from antimicrobial activity, antibiotics have multiple off-target effects. The brain-gut-microbiota axis has multiple sites for off-target activity, which may produce either positive or negative antibiotic effects. Here we review how antibiotics impact mental health by acting through the brain-gut-microbiota axis. Microbes in the gut influence brain function by acting through the vagus nerve or by altering the production of short-chain fatty acids or the amino acid tryptophan, the building block of serotonin. Not all antimicrobial actions of antibiotics have a negative impact. The first antidepressant discovered was actually an antibiotic: isoniazid is an antibacterial drug developed for treating tuberculosis. Minocycline, which enters the brain and mediates its effects through microglia, shows antidepressant activity. Some antibiotics bring about a significant decrease in gut microbial diversity, and this is viewed as a risk factor for depression. Other risk factors induced by antibiotics include altered gut barrier function, activation of the hypothalamic-pituitary-adrenal axis, reducing levels of brain-derived neurotrophic factor or oxytocin and alteration of vagal tone. Although most patients taking antibiotics do not suffer from an iatrogenic psychiatric disorder, some do. As clinicians, we need to keep this in mind. The development of new antibiotics is primarily focused on antibiotic resistance, but efforts should be made to reduce off-target brain-gut-microbiota effects resulting in mental health problems.",Journal of internal medicine,2022,Katherine Dinan; Timothy Dinan
36145184,The Burden of Carbohydrates in Health and Disease.,"Foods high in carbohydrates are an important part of a healthy diet, since they provide the body with glucose to support bodily functions and physical activity. However, the abusive consumption of refined, simple, and low-quality carbohydrates has a direct implication on the physical and mental pathophysiology. Then, carbohydrate consumption is postulated as a crucial factor in the development of the main Western diseases of the 21st century. We conducted this narrative critical review using MedLine (Pubmed), Cochrane (Wiley), Embase, and CinAhl databases with the MeSH-compliant keywords: carbohydrates and evolution, development, phylogenetic, GUT, microbiota, stress, metabolic health, consumption behaviors, metabolic disease, cardiovascular disease, mental disease, anxiety, depression, cancer, chronic kidney failure, allergies, and asthma in order to analyze the impact of carbohydrates on health. Evidence suggests that carbohydrates, especially fiber, are beneficial for the well-being and growth of gut microorganisms and consequently for the host in this symbiotic relationship, producing microbial alterations a negative effect on mental health and different organic systems. In addition, evidence suggests a negative impact of simple carbohydrates and refined carbohydrates on mood categories, including alertness and tiredness, reinforcing a vicious circle. Regarding physical health, sugar intake can affect the development and prognosis of metabolic disease, as an uncontrolled intake of refined carbohydrates puts individuals at risk of developing metabolic syndrome and subsequently developing metabolic disease.",Nutrients,2022,Vicente Javier Clemente-Suárez; Juan Mielgo-Ayuso; Alexandra Martín-Rodríguez; Domingo Jesús Ramos-Campo; Laura Redondo-Flórez; Jose Francisco Tornero-Aguilera
35562885,"The Gut Microbiome in Depression and Potential Benefit of Prebiotics, Probiotics and Synbiotics: A Systematic Review of Clinical Trials and Observational Studies.","An emerging body of literature demonstrates differences in the gut microbiome (GMB) of patients with major depressive disorder (MDD) compared to healthy controls (HC), as well as the potential benefits of prebiotic, probiotic, and synbiotic treatment. We conducted a systematic review of 24 observational studies (n = 2817), and 19 interventional trials (n = 1119). We assessed alpha diversity, beta diversity, and taxa abundance changes in patients with MDD relative to HC, as well as the effect of prebiotics, probiotics, and synbiotics on depressive symptoms in individuals with clinical or subclinical depression. We observed no significant differences in alpha diversity but a significant difference in beta diversity between patients with MDD and HC. There were fluctuations in the abundance of specific taxa in patients with MDD relative to HC. Probiotic and synbiotic, but not prebiotic, treatment showed a modest benefit in reducing depressive symptoms in patients with MDD over four to nine weeks. The GMB profiles of patients with MDD differ significantly from HC, but further studies are needed to elucidate the benefits of prebiotic, probiotic and synbiotic treatments relative to antidepressants and over longer follow-up before these therapies are implemented into clinical practice.",International journal of molecular sciences,2022,Sauliha R Alli; Ilona Gorbovskaya; Jonathan C W Liu; Nathan J Kolla; Lisa Brown; Daniel J Müller
