PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32163822","The gut microbiota and mental health in adults","Järbrink-Sehgal E, Andreasson A.","Curr Opin Neurobiol. 2020 Jun;62:102-114. doi: 10.1016/j.conb.2020.01.016. Epub 2020 Mar 9.","Järbrink-Sehgal E","Curr Opin Neurobiol","2020","2020/03/13","","","10.1016/j.conb.2020.01.016"
"33271426","The gut microbiota in anxiety and depression - A systematic review","Simpson CA, Diaz-Arteche C, Eliby D, Schwartz OS, Simmons JG, Cowan CSM.","Clin Psychol Rev. 2021 Feb;83:101943. doi: 10.1016/j.cpr.2020.101943. Epub 2020 Oct 29.","Simpson CA","Clin Psychol Rev","2021","2020/12/03","","","10.1016/j.cpr.2020.101943"
"32772900","Gut microbes in neurocognitive and mental health disorders","Halverson T, Alagiakrishnan K.","Ann Med. 2020 Dec;52(8):423-443. doi: 10.1080/07853890.2020.1808239. Epub 2020 Aug 31.","Halverson T","Ann Med","2020","2020/08/11","PMC7877977","","10.1080/07853890.2020.1808239"
"32899236","Alcohol Addiction, Gut Microbiota, and Alcoholism Treatment: A Review","Wang SC, Chen YC, Chen SJ, Lee CH, Cheng CM.","Int J Mol Sci. 2020 Sep 3;21(17):6413. doi: 10.3390/ijms21176413.","Wang SC","Int J Mol Sci","2020","2020/09/09","PMC7504034","","10.3390/ijms21176413"
"32149335","The Role of the Gut Microbiota in Dietary Interventions for Depression and Anxiety","Bear TLK, Dalziel JE, Coad J, Roy NC, Butts CA, Gopal PK.","Adv Nutr. 2020 Jul 1;11(4):890-907. doi: 10.1093/advances/nmaa016.","Bear TLK","Adv Nutr","2020","2020/03/10","PMC7360462","","10.1093/advances/nmaa016"
"31628992","Exercise, diet and stress as modulators of gut microbiota: Implications for neurodegenerative diseases","Gubert C, Kong G, Renoir T, Hannan AJ.","Neurobiol Dis. 2020 Feb;134:104621. doi: 10.1016/j.nbd.2019.104621. Epub 2019 Oct 16.","Gubert C","Neurobiol Dis","2020","2019/10/20","","","10.1016/j.nbd.2019.104621"
"33087991","Human Gut Microbiota and Mental Health: Advancements and Challenges in Microbe-Based Therapeutic Interventions","Verma H, Phian S, Lakra P, Kaur J, Subudhi S, Lal R, Rawat CD.","Indian J Microbiol. 2020 Dec;60(4):405-419. doi: 10.1007/s12088-020-00898-z. Epub 2020 Jul 7.","Verma H","Indian J Microbiol","2020","2020/10/22","PMC7539250","","10.1007/s12088-020-00898-z"
"30415609","Fermented foods, the gut and mental health: a mechanistic overview with implications for depression and anxiety","Aslam H, Green J, Jacka FN, Collier F, Berk M, Pasco J, Dawson SL.","Nutr Neurosci. 2020 Sep;23(9):659-671. doi: 10.1080/1028415X.2018.1544332. Epub 2018 Nov 11.","Aslam H","Nutr Neurosci","2020","2018/11/13","","","10.1080/1028415X.2018.1544332"
"33144709","Diet and depression: exploring the biological mechanisms of action","Marx W, Lane M, Hockey M, Aslam H, Berk M, Walder K, Borsini A, Firth J, Pariante CM, Berding K, Cryan JF, Clarke G, Craig JM, Su KP, Mischoulon D, Gomez-Pinilla F, Foster JA, Cani PD, Thuret S, Staudacher HM, Sánchez-Villegas A, Arshad H, Akbaraly T, O'Neil A, Segasby T, Jacka FN.","Mol Psychiatry. 2021 Jan;26(1):134-150. doi: 10.1038/s41380-020-00925-x. Epub 2020 Nov 3.","Marx W","Mol Psychiatry","2021","2020/11/04","","","10.1038/s41380-020-00925-x"
"32816830","Does Fibre-fix provided to people with irritable bowel syndrome who are consuming a low FODMAP diet improve their gut health, gut microbiome, sleep and mental health? A double-blinded, randomised controlled trial","Yan R, Murphy M, Genoni A, Marlow E, Dunican IC, Lo J, Andrew L, Devine A, Christophersen CT.","BMJ Open Gastroenterol. 2020 Aug;7(1):e000448. doi: 10.1136/bmjgast-2020-000448.","Yan R","BMJ Open Gastroenterol","2020","2020/08/21","PMC7437697","","10.1136/bmjgast-2020-000448"
