PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35151796","Brain-gut-microbiota axis in depression: A historical overview and future directions","Chang L, Wei Y, Hashimoto K.","Brain Res Bull. 2022 May;182:44-56. doi: 10.1016/j.brainresbull.2022.02.004. Epub 2022 Feb 11.","Chang L","Brain Res Bull","2022","2022/02/13","","","10.1016/j.brainresbull.2022.02.004"
"35181072","Psychobiotics, gut microbiota and fermented foods can help preserving mental health","Casertano M, Fogliano V, Ercolini D.","Food Res Int. 2022 Feb;152:110892. doi: 10.1016/j.foodres.2021.110892. Epub 2021 Dec 22.","Casertano M","Food Res Int","2022","2022/02/19","","","10.1016/j.foodres.2021.110892"
"35044528","The microbiota-gut-brain axis: pathways to better brain health. Perspectives on what we know, what we need to investigate and how to put knowledge into practice","Chakrabarti A, Geurts L, Hoyles L, Iozzo P, Kraneveld AD, La Fata G, Miani M, Patterson E, Pot B, Shortt C, Vauzour D.","Cell Mol Life Sci. 2022 Jan 19;79(2):80. doi: 10.1007/s00018-021-04060-w.","Chakrabarti A","Cell Mol Life Sci","2022","2022/01/19","PMC8770392","","10.1007/s00018-021-04060-w"
"36099873","The microbiota-gut-brain axis in sleep disorders","Wang Z, Wang Z, Lu T, Chen W, Yan W, Yuan K, Shi L, Liu X, Zhou X, Shi J, Vitiello MV, Han Y, Lu L.","Sleep Med Rev. 2022 Oct;65:101691. doi: 10.1016/j.smrv.2022.101691. Epub 2022 Aug 31.","Wang Z","Sleep Med Rev","2022","2022/09/13","","","10.1016/j.smrv.2022.101691"
"35194166","A systematic review of gut microbiota composition in observational studies of major depressive disorder, bipolar disorder and schizophrenia","McGuinness AJ, Davis JA, Dawson SL, Loughman A, Collier F, O'Hely M, Simpson CA, Green J, Marx W, Hair C, Guest G, Mohebbi M, Berk M, Stupart D, Watters D, Jacka FN.","Mol Psychiatry. 2022 Apr;27(4):1920-1935. doi: 10.1038/s41380-022-01456-3. Epub 2022 Feb 22.","McGuinness AJ","Mol Psychiatry","2022","2022/02/23","PMC9126816","","10.1038/s41380-022-01456-3"
"36093196","Gut microbiota: Linking nutrition and perinatal depression","Song J, Zhou B, Kan J, Liu G, Zhang S, Si L, Zhang X, Yang X, Ma J, Cheng J, Yang Y, Liu X.","Front Cell Infect Microbiol. 2022 Aug 26;12:932309. doi: 10.3389/fcimb.2022.932309. eCollection 2022.","Song J","Front Cell Infect Microbiol","2022","2022/09/12","PMC9459161","","10.3389/fcimb.2022.932309"
"35631252","Medicinal Plants and Their Impact on the Gut Microbiome in Mental Health: A Systematic Review","Pferschy-Wenzig EM, Pausan MR, Ardjomand-Woelkart K, Röck S, Ammar RM, Kelber O, Moissl-Eichinger C, Bauer R.","Nutrients. 2022 May 18;14(10):2111. doi: 10.3390/nu14102111.","Pferschy-Wenzig EM","Nutrients","2022","2022/05/28","PMC9144835","","10.3390/nu14102111"
"35444255","Multi-omics analyses of serum metabolome, gut microbiome and brain function reveal dysregulated microbiota-gut-brain axis in bipolar depression","Li Z, Lai J, Zhang P, Ding J, Jiang J, Liu C, Huang H, Zhen H, Xi C, Sun Y, Wu L, Wang L, Gao X, Li Y, Fu Y, Jie Z, Li S, Zhang D, Chen Y, Zhu Y, Lu S, Lu J, Wang D, Zhou H, Yuan X, Li X, Pang L, Huang M, Yang H, Zhang W, Brix S, Kristiansen K, Song X, Nie C, Hu S.","Mol Psychiatry. 2022 Oct;27(10):4123-4135. doi: 10.1038/s41380-022-01569-9. Epub 2022 Apr 20.","Li Z","Mol Psychiatry","2022","2022/04/21","","","10.1038/s41380-022-01569-9"
"35819136","Antibiotics and mental health: The good, the bad and the ugly","Dinan K, Dinan T.","J Intern Med. 2022 Dec;292(6):858-869. doi: 10.1111/joim.13543. Epub 2022 Jul 12.","Dinan K","J Intern Med","2022","2022/07/12","PMC9796968","","10.1111/joim.13543"
"36145184","The Burden of Carbohydrates in Health and Disease","Clemente-Suárez VJ, Mielgo-Ayuso J, Martín-Rodríguez A, Ramos-Campo DJ, Redondo-Flórez L, Tornero-Aguilera JF.","Nutrients. 2022 Sep 15;14(18):3809. doi: 10.3390/nu14183809.","Clemente-Suárez VJ","Nutrients","2022","2022/09/23","PMC9505863","","10.3390/nu14183809"
