pmid,title,abstract,journal,year,authors
32163822,The gut microbiota and mental health in adults.,"A growing body of evidence point toward the bidirectional gut microbiota-brain axis playing a role in mental health. Most of this research is conducted on animals why we in this review summarize and comment upon recent studies evaluating the gut microbiome in mental health in humans. Further support for the relevance of the bidirectional gut microbiota-brain communication in mood disorders has been presented, such as the effect of probiotics on brain connectivity and mental health outcomes and pregnancy related stress on gut microbiota in the newborn child. However, the heterogeneity between studies precludes conclusions regarding differences in microbiota composition in mental disease and health and many of the studies are limited by a cross-sectional design, small sample sizes and multiple comparisons. Thus, well-designed longitudinal studies with larger sample size, accounting for confounders are needed.",Current opinion in neurobiology,2020,Ellionore Järbrink-Sehgal; Anna Andreasson
33271426,The gut microbiota in anxiety and depression - A systematic review.,"Growing evidence indicates the community of microorganisms throughout the gastrointestinal tract, (i.e., gut microbiota), is associated with anxiety and depressive disorders. We present the first systematic review of the gut microbiota in anxiety disorders, along with an update in depression. Consideration of shared underlying features is essential due to the high rates of comorbidity. Systematic searches, following PRISMA guidelines, identified 26 studies (two case-control comparisons of the gut microbiota in generalised anxiety disorder, 18 in depression, one incorporating both anxiety/depression, and five including symptom-only measures). Alpha and beta diversity findings were inconsistent; however, differences in bacterial taxa indicated disorders may be characterised by a higher abundance of proinflammatory species (e.g., Enterobacteriaceae and Desulfovibrio), and lower short-chain fatty acid producing-bacteria (e.g., Faecalibacterium). Several taxa, and their mechanisms of action, may relate to anxiety and depression pathophysiology via communication of peripheral inflammation to the brain. Although the gut microbiota remains a promising target for prevention and therapy, future research should assess confounders, particularly diet and psychotropic medications, and should examine microorganism function.",Clinical psychology review,2021,Carra A Simpson; Carmela Diaz-Arteche; Djamila Eliby; Orli S Schwartz; Julian G Simmons; Caitlin S M Cowan
33271426,The gut microbiota in anxiety and depression - A systematic review.,"Growing evidence indicates the community of microorganisms throughout the gastrointestinal tract, (i.e., gut microbiota), is associated with anxiety and depressive disorders. We present the first systematic review of the gut microbiota in anxiety disorders, along with an update in depression. Consideration of shared underlying features is essential due to the high rates of comorbidity. Systematic searches, following PRISMA guidelines, identified 26 studies (two case-control comparisons of the gut microbiota in generalised anxiety disorder, 18 in depression, one incorporating both anxiety/depression, and five including symptom-only measures). Alpha and beta diversity findings were inconsistent; however, differences in bacterial taxa indicated disorders may be characterised by a higher abundance of proinflammatory species (e.g., Enterobacteriaceae and Desulfovibrio), and lower short-chain fatty acid producing-bacteria (e.g., Faecalibacterium). Several taxa, and their mechanisms of action, may relate to anxiety and depression pathophysiology via communication of peripheral inflammation to the brain. Although the gut microbiota remains a promising target for prevention and therapy, future research should assess confounders, particularly diet and psychotropic medications, and should examine microorganism function.",Clinical psychology review,2021,Carra A Simpson; Carmela Diaz-Arteche; Djamila Eliby; Orli S Schwartz; Julian G Simmons; Caitlin S M Cowan
32772900,Gut microbes in neurocognitive and mental health disorders.,"As individuals age, the prevalence of neurocognitive and mental health disorders increases. Current biomedical treatments do not completely address the management of these conditions. Despite new pharmacological therapy the challenges of managing these diseases remain.There is increasing evidence that the Gut Microbiome (GM) and microbial dysbiosis contribute to some of the more prevalent mental health and neurocognitive disorders, such as depression, anxiety, obsessive-compulsive disorder (OCD), post-traumatic stress disorder (PTSD), schizophrenia, bipolar disorder (BP), and dementia as well as the behavioural and psychological symptoms of dementia (BPSD) through the microbiota-gut-brain axis. <b>Methodology:</b> Scoping review about the effect of gut microbiota on neurocognitive and mental health disorders.This scoping review found there is an evolving evidence of the involvement of the gut microbiota in the pathophysiology of neurocognitive and mental health disorders. This manuscript also discusses how the psychotropics used to treat these conditions may have an antimicrobial effect on GM, and the potential for new strategies of management with probiotics and faecal transplantation.This understanding can open up the need for a gut related approach in these disorders as well as unlock the door for the role of gut related microbiota management. KEY MESSAGES Challenges of managing mental health conditions remain in spite of new pharmacological therapy. Gut dysbiosis is seen in various mental health conditions. Various psychotropic medications can have an influence on the gut microbiota by their antimicrobial effect.",Annals of medicine,2020,Tyler Halverson; Kannayiram Alagiakrishnan
32899236,"Alcohol Addiction, Gut Microbiota, and Alcoholism Treatment: A Review.","Alcohol addiction is a leading risk factor for personal death and disability. In 2016, alcohol use caused 2.2% of female deaths and 6.8% of male deaths, and disability-adjusted life years (DALYs) were 2.3% in female and 8.9% in male. Individuals with alcohol use disorder are at high risk of anxiety, depression, impaired cognition performance, and illicit drug use and are comorbid with liver disease, such as alcoholic hepatitis and liver cirrhosis, which is a major cause of personal death and disability worldwide. Psychological interventions, such as cognitive behavior therapy and motivational interviewing, as well as medical treatments, such as disulfiram, naltrexone, acamprosate, and nalmefene, are used for the treatment of alcohol addiction in Europe and the United States. However, the effect of current interventions is limited, and the need for additional interventions is substantial. Alcohol use impairs the intestinal barrier and causes changes to the intestinal permeability as well as the gut microbiota composition. Emerging studies have tried to reveal the role of the gut-brain axis among individuals with alcohol use disorder with or without alcohol liver disease. Bacterial products penetrate the impaired intestinal barrier and cause central inflammation; changes to the gut microbiota impair enterohepatic circulation of bile acids; alcohol abuse causes shortage of vital nutrients such as thiamine. Several studies have suggested that probiotics, through either oral administration or fecal microbiota transplantation, increased intestinal levels of potentially beneficial bacteria such as bifidobacteria and lactobacilli, improving the levels of liver-associated enzymes in patients with mild alcoholic hepatitis, and demonstrating beneficial psychotropic effects on anxiety and depression. In addition to medications for alcohol addiction, gene editing therapy such as clustered regularly interspaced short palindromic repeats (CRISPRs) may be another potential research target. Alcohol dehydrogenase (ADH) and aldehyde dehydrogenase (ALDH), which are associated with ADH and ALDH genes, are major enzymes involved in alcohol metabolism, and gene editing approaches may have the potential to directly modify specific genes to treat alcoholism caused by genetic defects. Further research is needed to study the effect of the combined treatment for alcohol addiction.",International journal of molecular sciences,2020,Shao-Cheng Wang; Yuan-Chuan Chen; Shaw-Ji Chen; Chun-Hung Lee; Ching-Ming Cheng
32149335,The Role of the Gut Microbiota in Dietary Interventions for Depression and Anxiety.,"There is emerging evidence that an unhealthy dietary pattern may increase the risk of developing depression or anxiety, whereas a healthy dietary pattern may decrease it. This nascent research suggests that dietary interventions could help prevent, or be an alternative or adjunct therapy for, depression and anxiety. The relation, however, is complex, affected by many confounding variables, and is also likely to be bidirectional, with dietary choices being affected by stress and depression. This complexity is reflected in the data, with sometimes conflicting results among studies. As the research evolves, all characteristics of the relation need to be considered to ensure that we obtain a full understanding, which can potentially be translated into clinical practice. A parallel and fast-growing body of research shows that the gut microbiota is linked with the brain in a bidirectional relation, commonly termed the microbiome-gut-brain axis. Preclinical evidence suggests that this axis plays a key role in the regulation of brain function and behavior. In this review we discuss possible reasons for the conflicting results in diet-mood research, and present examples of areas of the diet-mood relation in which the gut microbiota is likely to be involved, potentially explaining some of the conflicting results from diet and depression studies. We argue that because diet is one of the most significant factors that affects human gut microbiota structure and function, nutritional intervention studies need to consider the gut microbiota as an essential piece of the puzzle.","Advances in nutrition (Bethesda, Md.)",2020,Tracey L K Bear; Julie E Dalziel; Jane Coad; Nicole C Roy; Christine A Butts; Pramod K Gopal
31628992,"Exercise, diet and stress as modulators of gut microbiota: Implications for neurodegenerative diseases.","The last decade has witnessed an exponentially growing interest in gut microbiota and the gut-brain axis in health and disease. Accumulating evidence from preclinical and clinical research indicate that gut microbiota, and their associated microbiomes, may influence pathogenic processes and thus the onset and progression of various diseases, including neurological and psychiatric disorders. In fact, gut dysbiosis (microbiota dysregulation) has been associated with a range of neurodegenerative diseases, including Alzheimer's, Parkinson's, Huntington's and motor neuron disease, as well as multiple sclerosis. The gut microbiota constitutes a dynamic microbial system constantly challenged by many biological variables, including environmental factors. Since the gut microbiota constitute a changeable and experience-dependent ecosystem, they provide potential therapeutic targets that can be modulated as new interventions for dysbiosis-related disorders, including neurodegenerative diseases. This article reviews the evidence for environmental modulation of gut microbiota and its relevance to brain disorders, exploring in particular the implications for neurodegenerative diseases. We will focus on three major environmental factors that are known to influence the onset and progression of those diseases, namely exercise, diet and stress. Further exploration of environmental modulation, acting via both peripheral (e.g. gut microbiota and associated metabolic dysfunction or 'metabolopathy') and central (e.g. direct effects on CNS neurons and glia) mechanisms, may lead to the development of novel therapeutic approaches, such as enviromimetics, for a wide range of neurological and psychiatric disorders.",Neurobiology of disease,2020,Carolina Gubert; Geraldine Kong; Thibault Renoir; Anthony J Hannan
33087991,Human Gut Microbiota and Mental Health: Advancements and Challenges in Microbe-Based Therapeutic Interventions.,"Gut microbes play prime role in human health and have shown to exert their influence on various physiological responses including neurological functions. Growing evidences in recent years have indicated a key role of gut microbiota in contributing to mental health. The connection between gut and brain is modulated by microbes via neural, neuroendocrinal and metabolic pathways that are mediated through various neurotransmitters and their precursors, hormones, cytokines and bioactive metabolites. Impaired functioning of this connection can lead to manifestation of mental disorders. Around 1 billion of the world population is reported to suffer from emotional, psychological and neurological imbalances, substance use disorders and cognitive, psychosocial and intellectual disabilities. Thus, it becomes imperative to understand the role of gut microbes in mental disorders. Since variations occur in the conditions associated with different mental disorders and some of them have overlapping symptoms, it becomes important to have a holistic understanding of gut dysbiosis in these disorders. In this review, we consolidate the recent data on alterations in the gut microbes and its consequences in various neurological, psychological and neurodegenerative disorders. Further, considering these evidences, several studies have been undertaken to specifically target the gut microbiota through different therapeutic interventions including administration of live microbes (psychobiotics) to treat mental health disorders and/or their symptoms. We review these studies and propose that an integrative and personalized approach, where combinations of microbe-based therapeutic interventions to modulate gut microbes and in-use psychological treatment practices can be integrated and based on patient's gut microbiome can be potentially adopted for effective treatment of the mental disorders.",Indian journal of microbiology,2020,Helianthous Verma; Sonika Phian; Priya Lakra; Jasleen Kaur; Sanjukta Subudhi; Rup Lal; Charu Dogra Rawat
30415609,"Fermented foods, the gut and mental health: a mechanistic overview with implications for depression and anxiety.","Mental disorders including depression and anxiety are often comorbid with gut problems, suggesting a bidirectional relationship between mental health and gut function. Several mechanisms might explain this comorbidity, such as inflammation and immune activation; intestinal permeability; perturbations in the hypothalamic-pituitary-adrenal axis; neurotransmitter/neuropeptide dysregulation; dietary deficiencies; and disturbed gut microbiome composition. The potential of modulating the microbiome-gut-brain axis, and subsequently mental health, through the use of functional foods, is an emerging and novel topic of interest. Fermented foods are considered functional foods due to their putative health benefits. The process of microbial fermentation converts food substrates into more nutritionally and functionally rich products, resulting in functional microorganisms (probiotics), substrates that enhance proliferation of beneficial bacteria in the gut (prebiotics), and bioactive components (biogenics). These functional ingredients act biologically in the gastrointestinal tract and have the ability to modify the gut microbiota, influence translocation of endotoxins and subsequent immune activation, and promote host nutrition. This narrative review explores the theoretical potential of the functional components present in fermented foods to alter gut physiology and to impact the biological mechanisms thought to underpin depression and anxiety. Pre-clinical studies indicate the benefits of fermented foods in relieving perturbed gut function and for animal models of depression and anxiety. However, in humans, the literature relating to the relevance of fermented food for treating or preventing depression and anxiety is sparse, heterogeneous and has significant limitations. This review identifies a critical research gap for further evaluation of fermented foods in the management of depression anxiety in humans.",Nutritional neuroscience,2020,Hajara Aslam; Jessica Green; Felice N Jacka; Fiona Collier; Michael Berk; Julie Pasco; Samantha L Dawson
33144709,Diet and depression: exploring the biological mechanisms of action.,"The field of nutritional psychiatry has generated observational and efficacy data supporting a role for healthy dietary patterns in depression onset and symptom management. To guide future clinical trials and targeted dietary therapies, this review provides an overview of what is currently known regarding underlying mechanisms of action by which diet may influence mental and brain health. The mechanisms of action associating diet with health outcomes are complex, multifaceted, interacting, and not restricted to any one biological pathway. Numerous pathways were identified through which diet could plausibly affect mental health. These include modulation of pathways involved in inflammation, oxidative stress, epigenetics, mitochondrial dysfunction, the gut microbiota, tryptophan-kynurenine metabolism, the HPA axis, neurogenesis and BDNF, epigenetics, and obesity. However, the nascent nature of the nutritional psychiatry field to date means that the existing literature identified in this review is largely comprised of preclinical animal studies. To fully identify and elucidate complex mechanisms of action, intervention studies that assess markers related to these pathways within clinically diagnosed human populations are needed.",Molecular psychiatry,2021,Wolfgang Marx; Melissa Lane; Meghan Hockey; Hajara Aslam; Michael Berk; Ken Walder; Alessandra Borsini; Joseph Firth; Carmine M Pariante; Kirsten Berding; John F Cryan; Gerard Clarke; Jeffrey M Craig; Kuan-Pin Su; David Mischoulon; Fernando Gomez-Pinilla; Jane A Foster; Patrice D Cani; Sandrine Thuret; Heidi M Staudacher; Almudena Sánchez-Villegas; Husnain Arshad; Tasnime Akbaraly; Adrienne O'Neil; Toby Segasby; Felice N Jacka
33144709,Diet and depression: exploring the biological mechanisms of action.,"The field of nutritional psychiatry has generated observational and efficacy data supporting a role for healthy dietary patterns in depression onset and symptom management. To guide future clinical trials and targeted dietary therapies, this review provides an overview of what is currently known regarding underlying mechanisms of action by which diet may influence mental and brain health. The mechanisms of action associating diet with health outcomes are complex, multifaceted, interacting, and not restricted to any one biological pathway. Numerous pathways were identified through which diet could plausibly affect mental health. These include modulation of pathways involved in inflammation, oxidative stress, epigenetics, mitochondrial dysfunction, the gut microbiota, tryptophan-kynurenine metabolism, the HPA axis, neurogenesis and BDNF, epigenetics, and obesity. However, the nascent nature of the nutritional psychiatry field to date means that the existing literature identified in this review is largely comprised of preclinical animal studies. To fully identify and elucidate complex mechanisms of action, intervention studies that assess markers related to these pathways within clinically diagnosed human populations are needed.",Molecular psychiatry,2021,Wolfgang Marx; Melissa Lane; Meghan Hockey; Hajara Aslam; Michael Berk; Ken Walder; Alessandra Borsini; Joseph Firth; Carmine M Pariante; Kirsten Berding; John F Cryan; Gerard Clarke; Jeffrey M Craig; Kuan-Pin Su; David Mischoulon; Fernando Gomez-Pinilla; Jane A Foster; Patrice D Cani; Sandrine Thuret; Heidi M Staudacher; Almudena Sánchez-Villegas; Husnain Arshad; Tasnime Akbaraly; Adrienne O'Neil; Toby Segasby; Felice N Jacka
