PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33362788","The Gut-Brain Axis: How Microbiota and Host Inflammasome Influence Brain Physiology and Pathology","Rutsch A, Kantsjö JB, Ronchi F.","Front Immunol. 2020 Dec 10;11:604179. doi: 10.3389/fimmu.2020.604179. eCollection 2020.","Rutsch A","Front Immunol","2020","2020/12/28","PMC7758428","","10.3389/fimmu.2020.604179"
"32934117","Gut Microbiota and Metabolome Alterations Associated with Parkinson's Disease","Vascellari S, Palmas V, Melis M, Pisanu S, Cusano R, Uva P, Perra D, Madau V, Sarchioto M, Oppo V, Simola N, Morelli M, Santoru ML, Atzori L, Melis M, Cossu G, Manzin A.","mSystems. 2020 Sep 15;5(5):e00561-20. doi: 10.1128/mSystems.00561-20.","Vascellari S","mSystems","2020","2020/09/16","PMC7498685","","10.1128/mSystems.00561-20"
"32357258","Microbiota Composition and Metabolism Are Associated With Gut Function in Parkinson's Disease","Cirstea MS, Yu AC, Golz E, Sundvick K, Kliger D, Radisavljevic N, Foulger LH, Mackenzie M, Huan T, Finlay BB, Appel-Cresswell S.","Mov Disord. 2020 Jul;35(7):1208-1217. doi: 10.1002/mds.28052. Epub 2020 May 1.","Cirstea MS","Mov Disord","2020","2020/05/02","","","10.1002/mds.28052"
"32103766","Gut, oral and nasal microbiota and Parkinson's disease","Shen L.","Microb Cell Fact. 2020 Feb 27;19(1):50. doi: 10.1186/s12934-020-01313-4.","Shen L","Microb Cell Fact","2020","2020/02/28","PMC7045475","","10.1186/s12934-020-01313-4"
"31628992","Exercise, diet and stress as modulators of gut microbiota: Implications for neurodegenerative diseases","Gubert C, Kong G, Renoir T, Hannan AJ.","Neurobiol Dis. 2020 Feb;134:104621. doi: 10.1016/j.nbd.2019.104621. Epub 2019 Oct 16.","Gubert C","Neurobiol Dis","2020","2019/10/20","","","10.1016/j.nbd.2019.104621"
"32290475","d-glutamate and Gut Microbiota in Alzheimer's Disease","Chang CH, Lin CH, Lane HY.","Int J Mol Sci. 2020 Apr 11;21(8):2676. doi: 10.3390/ijms21082676.","Chang CH","Int J Mol Sci","2020","2020/04/16","PMC7215955","","10.3390/ijms21082676"
"34386321","The influence of the gut microbiota on the bioavailability of oral drugs","Zhang X, Han Y, Huang W, Jin M, Gao Z.","Acta Pharm Sin B. 2021 Jul;11(7):1789-1812. doi: 10.1016/j.apsb.2020.09.013. Epub 2020 Sep 28.","Zhang X","Acta Pharm Sin B","2021","2021/08/13","PMC8343123","","10.1016/j.apsb.2020.09.013"
"31837645","Effect of ultra-processed diet on gut microbiota and thus its role in neurodegenerative diseases","Martínez Leo EE, Segura Campos MR.","Nutrition. 2020 Mar;71:110609. doi: 10.1016/j.nut.2019.110609. Epub 2019 Oct 11.","Martínez Leo EE","Nutrition","2020","2019/12/15","","","10.1016/j.nut.2019.110609"
"33092396","Dysfunction of the Microbiota-Gut-Brain Axis in Neurodegenerative Disease: The Promise of Therapeutic Modulation With Prebiotics, Medicinal Herbs, Probiotics, and Synbiotics","Peterson CT.","J Evid Based Integr Med. 2020 Jan-Dec;25:2515690X20957225. doi: 10.1177/2515690X20957225.","Peterson CT","J Evid Based Integr Med","2020","2020/10/23","PMC7586271","","10.1177/2515690X20957225"
"32827699","Acupuncture inhibits neuroinflammation and gut microbial dysbiosis in a mouse model of Parkinson's disease","Jang JH, Yeom MJ, Ahn S, Oh JY, Ji S, Kim TH, Park HJ.","Brain Behav Immun. 2020 Oct;89:641-655. doi: 10.1016/j.bbi.2020.08.015. Epub 2020 Aug 19.","Jang JH","Brain Behav Immun","2020","2020/08/23","","","10.1016/j.bbi.2020.08.015"
