PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34500451","Parkinson's Disease and Gut Microbiota","Hirayama M, Ohno K.","Ann Nutr Metab. 2021;77 Suppl 2:28-35. doi: 10.1159/000518147. Epub 2021 Sep 9.","Hirayama M","Ann Nutr Metab","2021","2021/09/09","","","10.1159/000518147"
"34450312","The role of microbiota-gut-brain axis in neuropsychiatric and neurological disorders","Socała K, Doboszewska U, Szopa A, Serefko A, Włodarczyk M, Zielińska A, Poleszak E, Fichna J, Wlaź P.","Pharmacol Res. 2021 Oct;172:105840. doi: 10.1016/j.phrs.2021.105840. Epub 2021 Aug 24.","Socała K","Pharmacol Res","2021","2021/08/27","","","10.1016/j.phrs.2021.105840"
"34784980","Fecal microbiota transplantation protects rotenone-induced Parkinson's disease mice via suppressing inflammation mediated by the lipopolysaccharide-TLR4 signaling pathway through the microbiota-gut-brain axis","Zhao Z, Ning J, Bao XQ, Shang M, Ma J, Li G, Zhang D.","Microbiome. 2021 Nov 17;9(1):226. doi: 10.1186/s40168-021-01107-9.","Zhao Z","Microbiome","2021","2021/11/17","PMC8597301","","10.1186/s40168-021-01107-9"
"34205336","Regulation of Neurotransmitters by the Gut Microbiota and Effects on Cognition in Neurological Disorders","Chen Y, Xu J, Chen Y.","Nutrients. 2021 Jun 19;13(6):2099. doi: 10.3390/nu13062099.","Chen Y","Nutrients","2021","2021/07/02","PMC8234057","","10.3390/nu13062099"
"34942539","The gut microbiota-brain axis, psychobiotics and its influence on brain and behaviour: A systematic review","Barrio C, Arias-Sánchez S, Martín-Monzón I.","Psychoneuroendocrinology. 2022 Mar;137:105640. doi: 10.1016/j.psyneuen.2021.105640. Epub 2021 Dec 17.","Barrio C","Psychoneuroendocrinology","2022","2021/12/23","","","10.1016/j.psyneuen.2021.105640"
"32667590","The role of the microbiota-gut-brain axis in neuropsychiatric disorders","Generoso JS, Giridharan VV, Lee J, Macedo D, Barichello T.","Braz J Psychiatry. 2021 May-Jun;43(3):293-305. doi: 10.1590/1516-4446-2020-0987.","Generoso JS","Braz J Psychiatry","2021","2020/07/16","PMC8136391","","10.1590/1516-4446-2020-0987"
"33881598","Gastrointestinal dysfunction in Parkinson's disease: molecular pathology and implications of gut microbiome, probiotics, and fecal microbiota transplantation","Metta V, Leta V, Mrudula KR, Prashanth LK, Goyal V, Borgohain R, Chung-Faye G, Chaudhuri KR.","J Neurol. 2022 Mar;269(3):1154-1163. doi: 10.1007/s00415-021-10567-w. Epub 2021 Apr 21.","Metta V","J Neurol","2022","2021/04/21","","","10.1007/s00415-021-10567-w"
"34053243","Gut Microbiota and Parkinson's Disease: Implications for Faecal Microbiota Transplantation Therapy","Kang Y, Kang X, Zhang H, Liu Q, Yang H, Fan W.","ASN Neuro. 2021 Jan-Dec;13:17590914211016217. doi: 10.1177/17590914211016217.","Kang Y","ASN Neuro","2021","2021/05/31","PMC8165863","","10.1177/17590914211016217"
"33905953","Potential roles of gut microbiota and microbial metabolites in Parkinson's disease","Zheng SY, Li HX, Xu RC, Miao WT, Dai MY, Ding ST, Liu HD.","Ageing Res Rev. 2021 Aug;69:101347. doi: 10.1016/j.arr.2021.101347. Epub 2021 Apr 24.","Zheng SY","Ageing Res Rev","2021","2021/04/27","","","10.1016/j.arr.2021.101347"
"33557896","Relationships of gut microbiota, short-chain fatty acids, inflammation, and the gut barrier in Parkinson's disease","Aho VTE, Houser MC, Pereira PAB, Chang J, Rudi K, Paulin L, Hertzberg V, Auvinen P, Tansey MG, Scheperjans F.","Mol Neurodegener. 2021 Feb 8;16(1):6. doi: 10.1186/s13024-021-00427-6.","Aho VTE","Mol Neurodegener","2021","2021/02/09","PMC7869249","","10.1186/s13024-021-00427-6"
"34707612","Microbiota-Gut-Brain Axis and Epilepsy: A Review on Mechanisms and Potential Therapeutics","Ding M, Lang Y, Shu H, Shao J, Cui L.","Front Immunol. 2021 Oct 11;12:742449. doi: 10.3389/fimmu.2021.742449. eCollection 2021.","Ding M","Front Immunol","2021","2021/10/28","PMC8542678","","10.3389/fimmu.2021.742449"
