PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38178103","Gut microbiota, circulating cytokines and dementia: a Mendelian randomization study","Ji D, Chen WZ, Zhang L, Zhang ZH, Chen LJ.","J Neuroinflammation. 2024 Jan 4;21(1):2. doi: 10.1186/s12974-023-02999-0.","Ji D","J Neuroinflammation","2024","2024/01/04","PMC10765696","","10.1186/s12974-023-02999-0"
"38088063","Gut microbiota defined epigenomes of Alzheimer's and Parkinson's diseases reveal novel targets for therapy","Nohesara S, Abdolmaleky HM, Thiagalingam S, Zhou JR.","Epigenomics. 2024 Jan;16(1):57-77. doi: 10.2217/epi-2023-0342. Epub 2023 Dec 13.","Nohesara S","Epigenomics","2024","2023/12/13","PMC10804213","","10.2217/epi-2023-0342"
"38958636","Pesticides and the Gut Microbiota: Implications for Parkinson's Disease","Ghosh N, Sinha K, Sil PC.","Chem Res Toxicol. 2024 Jul 15;37(7):1071-1085. doi: 10.1021/acs.chemrestox.4c00057. Epub 2024 Jul 3.","Ghosh N","Chem Res Toxicol","2024","2024/07/03","","","10.1021/acs.chemrestox.4c00057"
"39064625","Mediterranean Diet Adherence, Gut Microbiota and Parkinson's Disease: A Systematic Review","Seelarbokus BA, Menozzi E, Schapira AHV, Kalea AZ, Macnaughtan J.","Nutrients. 2024 Jul 9;16(14):2181. doi: 10.3390/nu16142181.","Seelarbokus BA","Nutrients","2024","2024/07/27","PMC11280252","","10.3390/nu16142181"
"37967548","Gut Frailty: Its Concept and Pathogenesis","Naito Y.","Digestion. 2024;105(1):49-57. doi: 10.1159/000534733. Epub 2023 Nov 15.","Naito Y","Digestion","2024","2023/11/15","PMC10777716","","10.1159/000534733"
"38652236","Modulation of Gut Microbiota Through Dietary Intervention in Neuroinflammation and Alzheimer's and Parkinson's Diseases","Ayten Ş, Bilici S.","Curr Nutr Rep. 2024 Jun;13(2):82-96. doi: 10.1007/s13668-024-00539-7. Epub 2024 Apr 23.","Ayten Ş","Curr Nutr Rep","2024","2024/04/23","PMC11133127","","10.1007/s13668-024-00539-7"
"37843219","Correlation between the gut microbiome and neurodegenerative diseases: a review of metagenomics evidence","Liu X, Liu Y, Liu J, Zhang H, Shan C, Guo Y, Gong X, Cui M, Li X, Tang M.","Neural Regen Res. 2024 Apr;19(4):833-845. doi: 10.4103/1673-5374.382223.","Liu X","Neural Regen Res","2024","2023/10/16","PMC10664138","","10.4103/1673-5374.382223"
"38867886","The interplay between gut microbiota and the brain-gut axis in Parkinson's disease treatment","Jia X, Wang Q, Liu M, Ding JY.","Front Neurol. 2024 May 29;15:1415463. doi: 10.3389/fneur.2024.1415463. eCollection 2024.","Jia X","Front Neurol","2024","2024/06/13","PMC11168434","","10.3389/fneur.2024.1415463"
"38570412","The Gut Microbiota in Parkinson Disease: Interactions with Drugs and Potential for Therapeutic Applications","Menozzi E, Schapira AHV.","CNS Drugs. 2024 May;38(5):315-331. doi: 10.1007/s40263-024-01073-4. Epub 2024 Apr 3.","Menozzi E","CNS Drugs","2024","2024/04/03","PMC11026199","","10.1007/s40263-024-01073-4"
"38999791","Gut-Brain Axis in Focus: Polyphenols, Microbiota, and Their Influence on α-Synuclein in Parkinson's Disease","Riegelman E, Xue KS, Wang JS, Tang L.","Nutrients. 2024 Jun 27;16(13):2041. doi: 10.3390/nu16132041.","Riegelman E","Nutrients","2024","2024/07/13","PMC11243524","","10.3390/nu16132041"
