PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38663221","Effects of antipsychotics on the gastrointestinal microbiota: A systematic review","Dias MF, Nogueira YJA, Romano-Silva MA, Marques de Miranda D.","Psychiatry Res. 2024 Jun;336:115914. doi: 10.1016/j.psychres.2024.115914. Epub 2024 Apr 16.","Dias MF","Psychiatry Res","2024","2024/04/25","","","10.1016/j.psychres.2024.115914"
"38422755","Gut microbiota disturbances in hospitalized older adults with malnutrition and clinical outcomes","Muñoz-Fernandez SS, Garcez FB, Alencar JCG, Bastos AA, Morley JE, Cederholm T, Aprahamian I, de Souza HP, Avelino-Silva TJ, Bindels LB, Ribeiro SML.","Nutrition. 2024 Jun;122:112369. doi: 10.1016/j.nut.2024.112369. Epub 2024 Feb 1.","Muñoz-Fernandez SS","Nutrition","2024","2024/02/29","","","10.1016/j.nut.2024.112369"
"38722169","Preface: Special issue: ""Ion channels and genetic epilepsy""","Reid CA.","J Neurochem. 2024 May 9. doi: 10.1111/jnc.16121. Online ahead of print.","Reid CA","J Neurochem","2024","2024/05/09","","","10.1111/jnc.16121"
"38582087","Gut bacteria-driven homovanillic acid alleviates depression by modulating synaptic integrity","Zhao M, Ren Z, Zhao A, Tang Y, Kuang J, Li M, Chen T, Wang S, Wang J, Zhang H, Wang J, Zhang T, Zeng J, Liu X, Xie G, Liu P, Sun N, Bao T, Nie T, Lin J, Liu P, Zheng Y, Zheng X, Liu T, Jia W.","Cell Metab. 2024 May 7;36(5):1000-1012.e6. doi: 10.1016/j.cmet.2024.03.010. Epub 2024 Apr 5.","Zhao M","Cell Metab","2024","2024/04/06","","","10.1016/j.cmet.2024.03.010"
"38700338","Association between gut microbiota dysbiosis and poor functional outcomes in acute ischemic stroke patients with COVID-19 infection","Chen J, Gao X, Liang J, Wu Q, Shen L, Zheng Y, Ma Y, Peng Y, He Y, Yin J.","mSystems. 2024 May 3:e0018524. doi: 10.1128/msystems.00185-24. Online ahead of print.","Chen J","mSystems","2024","2024/05/03","","","10.1128/msystems.00185-24"
"38707924","The influence of the gut-brain axis on anxiety and depression: A review of the literature on the use of probiotics","Ferrari S, Mulè S, Parini F, Galla R, Ruga S, Rosso G, Brovero A, Molinari C, Uberti F.","J Tradit Complement Med. 2024 Mar 21;14(3):237-255. doi: 10.1016/j.jtcme.2024.03.011. eCollection 2024 May.","Ferrari S","J Tradit Complement Med","2024","2024/05/06","PMC11069002","","10.1016/j.jtcme.2024.03.011"
"38461054","Response to letter to the editor on guardians of rest? Investigating the gut microbiota in central hypersomnolence disorders","Kreisinger J, Jezkova J, Sonka K, Prochazkova P, Tlaskalova-Hogenova H, Nevsimalova S, Buskova J, Merkova R, Dvorakova T, Prihodova I, Dostalova S, Roubalova R.","Sleep Med. 2024 May;117:223-224. doi: 10.1016/j.sleep.2024.02.042. Epub 2024 Mar 4.","Kreisinger J","Sleep Med","2024","2024/03/09","","","10.1016/j.sleep.2024.02.042"
"38401573","A role of gut-brain axis on prophylactic actions of arketamine in male mice exposed to chronic restrain stress","Ma L, Eguchi A, Liu G, Qu Y, Wan X, Murayama R, Mori C, Hashimoto K.","Pharmacol Biochem Behav. 2024 May;238:173736. doi: 10.1016/j.pbb.2024.173736. Epub 2024 Feb 23.","Ma L","Pharmacol Biochem Behav","2024","2024/02/24","","","10.1016/j.pbb.2024.173736"
"38693730","Probiotics for Inflammatory Bowel Disease; A Deep Dive into Their Impact on Disease Course and Associated Health Risks","Hassan WNM, Al-Kaabi MM, Akram NN, Kassim MAK, Pantazi AC.","Curr Med Chem. 2024 Apr 30. doi: 10.2174/0109298673314861240429072352. Online ahead of print.","Hassan WNM","Curr Med Chem","2024","2024/05/02","","","10.2174/0109298673314861240429072352"
"38660662","Causal roles of gut microbiota in cholangiocarcinoma etiology suggested by genetic study","Chen ZT, Ding CC, Chen KL, Gu YJ, Lu CC, Li QY.","World J Gastrointest Oncol. 2024 Apr 15;16(4):1319-1333. doi: 10.4251/wjgo.v16.i4.1319.","Chen ZT","World J Gastrointest Oncol","2024","2024/04/25","PMC11037042","","10.4251/wjgo.v16.i4.1319"
"38606523","Current iron therapy in the light of regulation, intestinal microbiome, and toxicity: are we prescribing too much iron?","Dentand AL, Schubert MG, Krayenbuehl PA.","Crit Rev Clin Lab Sci. 2024 Apr 12:1-13. doi: 10.1080/10408363.2024.2331477. Online ahead of print.","Dentand AL","Crit Rev Clin Lab Sci","2024","2024/04/12","","","10.1080/10408363.2024.2331477"
"38416066","Relationship between type 1 narcolepsy and gut microbiota: sleepy people, sleepy microbiota?","Wu J, Li Y.","Sleep. 2024 Apr 12;47(4):zsae050. doi: 10.1093/sleep/zsae050.","Wu J","Sleep","2024","2024/02/28","PMC11009015","","10.1093/sleep/zsae050"
"38650872","The emerging roles of microbiota-derived extracellular vesicles in psychiatric disorders","Guo C, Bai Y, Li P, He K.","Front Microbiol. 2024 Apr 8;15:1383199. doi: 10.3389/fmicb.2024.1383199. eCollection 2024.","Guo C","Front Microbiol","2024","2024/04/23","PMC11033316","","10.3389/fmicb.2024.1383199"
"38589422","Transplantation of gut microbiota derived from patients with schizophrenia induces schizophrenia-like behaviors and dysregulated brain transcript response in mice","Wei N, Ju M, Su X, Zhang Y, Huang Y, Rao X, Cui L, Lin Z, Dong Y.","Schizophrenia (Heidelb). 2024 Apr 8;10(1):44. doi: 10.1038/s41537-024-00460-6.","Wei N","Schizophrenia (Heidelb)","2024","2024/04/08","PMC11001608","","10.1038/s41537-024-00460-6"
"38613114","Mapping Treatment Advances in the Neurobiology of Binge Eating Disorder: A Concept Paper","Donnelly B, Hay P.","Nutrients. 2024 Apr 7;16(7):1081. doi: 10.3390/nu16071081.","Donnelly B","Nutrients","2024","2024/04/13","PMC11013212","","10.3390/nu16071081"
"38613087","The Power of Psychobiotics in Depression: A Modern Approach through the Microbiota-Gut-Brain Axis: A Literature Review","Dziedzic A, Maciak K, Bliźniewska-Kowalska K, Gałecka M, Kobierecka W, Saluk J.","Nutrients. 2024 Apr 4;16(7):1054. doi: 10.3390/nu16071054.","Dziedzic A","Nutrients","2024","2024/04/13","PMC11013390","","10.3390/nu16071054"
"38488514","Ginsenoside Rk3 Regulates Tryptophan Metabolism along the Brain-Gut Axis by Targeting Tryptophan Hydroxylase and Remodeling the Intestinal Microenvironment to Alleviate Depressive-Like Behavior in Mice","Shao J, Qu L, Liu Y, Zhang J, Liu Y, Deng J, Ma X, Fan D.","J Agric Food Chem. 2024 Apr 3;72(13):7100-7120. doi: 10.1021/acs.jafc.3c07599. Epub 2024 Mar 15.","Shao J","J Agric Food Chem","2024","2024/03/15","","","10.1021/acs.jafc.3c07599"
"38565567","Gamma-aminobutyric acid as a potential postbiotic mediator in the gut-brain axis","Braga JD, Thongngam M, Kumrungsee T.","NPJ Sci Food. 2024 Apr 2;8(1):16. doi: 10.1038/s41538-024-00253-2.","Braga JD","NPJ Sci Food","2024","2024/04/02","PMC10987602","","10.1038/s41538-024-00253-2"
"38421192","Sleep deprivation-induced anxiety-like behaviors are associated with alterations in the gut microbiota and metabolites","Zhang N, Gao X, Li D, Xu L, Zhou G, Xu M, Peng L, Sun G, Pan F, Li Y, Ren R, Huang R, Yang Y, Wang Z.","Microbiol Spectr. 2024 Apr 2;12(4):e0143723. doi: 10.1128/spectrum.01437-23. Epub 2024 Feb 29.","Zhang N","Microbiol Spectr","2024","2024/02/29","","","10.1128/spectrum.01437-23"
"38508549","Along the microbiota-gut-brain axis: Use of plant polysaccharides to improve mental disorders","Gao J, Liang Y, Liu P.","Int J Biol Macromol. 2024 Apr;265(Pt 2):130903. doi: 10.1016/j.ijbiomac.2024.130903. Epub 2024 Mar 19.","Gao J","Int J Biol Macromol","2024","2024/03/20","","","10.1016/j.ijbiomac.2024.130903"
"38417224","Integrated multi-omics analysis reveals gut microbiota dysbiosis and systemic disturbance in major depressive disorder","Xie Z, Huang J, Sun G, He S, Luo Z, Zhang L, Li L, Yao M, Du C, Yu W, Feng Y, Yang D, Zhang J, Ge C, Li H, Geng M.","Psychiatry Res. 2024 Apr;334:115804. doi: 10.1016/j.psychres.2024.115804. Epub 2024 Feb 18.","Xie Z","Psychiatry Res","2024","2024/02/28","","","10.1016/j.psychres.2024.115804"
"36989335","Treatment response to supplemental nutrients for ADHD is independent of diet quality: the MADDY Study RCT","Robinette LM, Hatsu IE, Johnstone JM, Bruton AM, Leung BMY, Arnold LE.","Nutr Neurosci. 2024 Apr;27(4):319-328. doi: 10.1080/1028415X.2023.2191415. Epub 2023 Mar 29.","Robinette LM","Nutr Neurosci","2024","2023/03/29","PMC10539486","NIHMS1885282","10.1080/1028415X.2023.2191415"
"38606411","Markers of intestinal barrier damage in patients with chronic insomnia disorder","Cai Y, Gong D, Xiang T, Zhang X, Pan J.","Front Psychiatry. 2024 Mar 28;15:1373462. doi: 10.3389/fpsyt.2024.1373462. eCollection 2024.","Cai Y","Front Psychiatry","2024","2024/04/12","PMC11007705","","10.3389/fpsyt.2024.1373462"
"38576868","Bipolar disorder and the gut microbiota: a bibliometric analysis","Lin X, Huang J, Wang S, Zhang K.","Front Neurosci. 2024 Mar 21;18:1290826. doi: 10.3389/fnins.2024.1290826. eCollection 2024.","Lin X","Front Neurosci","2024","2024/04/05","PMC10991819","","10.3389/fnins.2024.1290826"
"38479554","Social isolation induces intestinal barrier disorder and imbalances gut microbiota in mice","Wang Y, Ullah H, Deng T, Ren X, Zhao Z, Xin Y, Qiu J.","Neurosci Lett. 2024 Mar 15;826:137714. doi: 10.1016/j.neulet.2024.137714. Epub 2024 Mar 11.","Wang Y","Neurosci Lett","2024","2024/03/13","","","10.1016/j.neulet.2024.137714"
"38458803","Multicomponent (bio)markers for obesity risk prediction: a scoping review protocol","Vahid F, Dessenne C, Tur JA, Bouzas C, Devaux Y, Malisoux L, Monserrat-Mesquida M, Sureda A, Desai MS, Turner JD, Lamy E, Perez-Jimenez M, Ravn-Haren G, Andersen R, Forberger S, Nagrani R, Ouzzahra Y, Fontefrancesco MF, Onorati MG, Bonetti GG, de-Magistris T, Bohn T.","BMJ Open. 2024 Mar 8;14(3):e083558. doi: 10.1136/bmjopen-2023-083558.","Vahid F","BMJ Open","2024","2024/03/08","PMC10928751","","10.1136/bmjopen-2023-083558"
"38463411","A Possible Role of Akkermansia muciniphila in the Treatment of Olanzapine-Induced Weight Gain","Bertossi F.","Cureus. 2024 Mar 7;16(3):e55733. doi: 10.7759/cureus.55733. eCollection 2024 Mar.","Bertossi F","Cureus","2024","2024/03/11","PMC10921070","","10.7759/cureus.55733"
"38426291","The microbiota-gut-brain axis in Huntington's disease: pathogenic mechanisms and therapeutic targets","Ekwudo MN, Gubert C, Hannan AJ.","FEBS J. 2024 Mar 1. doi: 10.1111/febs.17102. Online ahead of print.","Ekwudo MN","FEBS J","2024","2024/03/01","","","10.1111/febs.17102"
"38331354","Depression-like phenotypes in mice following common bile duct ligation: Insights into the gut-liver-brain axis via the vagus nerve","Yang Y, Eguchi A, Mori C, Hashimoto K.","Neurobiol Dis. 2024 Mar;192:106433. doi: 10.1016/j.nbd.2024.106433. Epub 2024 Feb 7.","Yang Y","Neurobiol Dis","2024","2024/02/08","","","10.1016/j.nbd.2024.106433"
"38327077","Metagenomic Analysis Reveals Difference of Gut Microbiota in ADHD","Wang N, Wang H, Bai Y, Zhao Y, Zheng X, Gao X, Zhang Z, Yang L.","J Atten Disord. 2024 Mar;28(5):872-879. doi: 10.1177/10870547231225491. Epub 2024 Feb 7.","Wang N","J Atten Disord","2024","2024/02/08","","","10.1177/10870547231225491"
"38317780","Gut microbiota regulate stress resistance by influencing microglia-neuron interactions in the hippocampus","He H, He H, Mo L, Yuan Q, Xiao C, Ma Q, Yi S, Zhou T, You Z, Zhang J.","Brain Behav Immun Health. 2024 Jan 23;36:100729. doi: 10.1016/j.bbih.2024.100729. eCollection 2024 Mar.","He H","Brain Behav Immun Health","2024","2024/02/06","PMC10840119","","10.1016/j.bbih.2024.100729"
"38278378","Fermented foods: Harnessing their potential to modulate the microbiota-gut-brain axis for mental health","Balasubramanian R, Schneider E, Gunnigle E, Cotter PD, Cryan JF.","Neurosci Biobehav Rev. 2024 Mar;158:105562. doi: 10.1016/j.neubiorev.2024.105562. Epub 2024 Jan 24.","Balasubramanian R","Neurosci Biobehav Rev","2024","2024/01/26","","","10.1016/j.neubiorev.2024.105562"
"37071196","Development of the gut microbiota in the first 14 years of life and its relations to internalizing and externalizing difficulties and social anxiety during puberty","Ou Y, Belzer C, Smidt H, de Weerth C.","Eur Child Adolesc Psychiatry. 2024 Mar;33(3):847-860. doi: 10.1007/s00787-023-02205-9. Epub 2023 Apr 18.","Ou Y","Eur Child Adolesc Psychiatry","2024","2023/04/18","PMC10894087","","10.1007/s00787-023-02205-9"
"36877601","The role of vitamin D in depression and anxiety disorders: a review of the literature","Renteria K, Nguyen H, Koh GY.","Nutr Neurosci. 2024 Mar;27(3):262-270. doi: 10.1080/1028415X.2023.2186318. Epub 2023 Mar 6.","Renteria K","Nutr Neurosci","2024","2023/03/06","","","10.1080/1028415X.2023.2186318"
"38421082","Unraveling the gut-brain connection: The association of microbiota-linked structural brain biomarkers with behavior and mental health","Contreras-Rodriguez O, Blasco G, Biarnés C, Puig J, Arnoriaga-Rodríguez M, Coll-Martinez C, Gich J, Ramió-Torrentà L, Motger-Albertí A, Pérez-Brocal V, Moya A, Radua J, Manuel Fernández-Real J.","Psychiatry Clin Neurosci. 2024 Feb 29. doi: 10.1111/pcn.13655. Online ahead of print.","Contreras-Rodriguez O","Psychiatry Clin Neurosci","2024","2024/02/29","","","10.1111/pcn.13655"
"38525261","Impact of dietary fiber on gut microbiota composition, function and gut-brain-modules in healthy adults - a systematic review protocol","Lachmansingh DA, Valderrama B, Bastiaanssen T, Cryan J, Clarke G, Lavelle A.","HRB Open Res. 2024 Feb 26;6:62. doi: 10.12688/hrbopenres.13794.2. eCollection 2023.","Lachmansingh DA","HRB Open Res","2024","2024/03/25","PMC10958149","","10.12688/hrbopenres.13794.2"
"38409102","Microbial composition, functionality, and stress resilience or susceptibility: unraveling sex-specific patterns","Tanelian A, Nankova B, Miari M, Sabban EL.","Biol Sex Differ. 2024 Feb 26;15(1):20. doi: 10.1186/s13293-024-00590-7.","Tanelian A","Biol Sex Differ","2024","2024/02/26","PMC10898170","","10.1186/s13293-024-00590-7"
"38381349","Adjunctive efficacy of Bifidobacterium animalis subsp. lactis XLTG11 for functional constipation in children","Chen K, Zhou Z, Nie Y, Cao Y, Yang P, Zhang Y, Xu P, Yu Q, Shen Y, Ma W, Jin S, Liu C.","Braz J Microbiol. 2024 Feb 21. doi: 10.1007/s42770-024-01276-3. Online ahead of print.","Chen K","Braz J Microbiol","2024","2024/02/21","","","10.1007/s42770-024-01276-3"
"38390241","Gut microbiota-derived short-chain fatty acids and depression: deep insight into biological mechanisms and potential applications","Cheng J, Hu H, Ju Y, Liu J, Wang M, Liu B, Zhang Y.","Gen Psychiatr. 2024 Feb 19;37(1):e101374. doi: 10.1136/gpsych-2023-101374. eCollection 2024.","Cheng J","Gen Psychiatr","2024","2024/02/23","PMC10882305","","10.1136/gpsych-2023-101374"
"38353184","Stressed to the Core: Inflammation and Intestinal Permeability Link Stress-Related Gut Microbiota Shifts to Mental Health Outcomes","Madison AA, Bailey MT.","Biol Psychiatry. 2024 Feb 15;95(4):339-347. doi: 10.1016/j.biopsych.2023.10.014. Epub 2023 Oct 29.","Madison AA","Biol Psychiatry","2024","2024/02/14","PMC10867428","NIHMS1953650","10.1016/j.biopsych.2023.10.014"
"38351227","Systematic identification of the role of gut microbiota in mental disorders: a TwinsUK cohort study","Delanote J, Correa Rojo A, Wells PM, Steves CJ, Ertaylan G.","Sci Rep. 2024 Feb 13;14(1):3626. doi: 10.1038/s41598-024-53929-w.","Delanote J","Sci Rep","2024","2024/02/13","PMC10864280","","10.1038/s41598-024-53929-w"
"38410510","Exploring the interplay between posttraumatic stress disorder, gut microbiota, and inflammatory biomarkers: a comprehensive meta-analysis","Petakh P, Oksenych V, Kamyshna I, Boisak I, Lyubomirskaya K, Kamyshnyi O.","Front Immunol. 2024 Feb 12;15:1349883. doi: 10.3389/fimmu.2024.1349883. eCollection 2024.","Petakh P","Front Immunol","2024","2024/02/27","PMC10895958","","10.3389/fimmu.2024.1349883"
