PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31859119","Infections, antibiotic treatment and the Microbiome in relation to schizophrenia","Klein-Petersen AW, Köhler-Forsberg O, Benros ME.","Schizophr Res. 2021 Aug;234:71-77. doi: 10.1016/j.schres.2019.11.033. Epub 2019 Dec 16.","Klein-Petersen AW","Schizophr Res","2021","2019/12/21","","","10.1016/j.schres.2019.11.033"
"31685046","Shotgun metagenomics reveals both taxonomic and tryptophan pathway differences of gut microbiota in major depressive disorder patients","Lai WT, Deng WF, Xu SX, Zhao J, Xu D, Liu YH, Guo YY, Wang MB, He FS, Ye SW, Yang QF, Liu TB, Zhang YL, Wang S, Li MZ, Yang YJ, Xie XH, Rong H.","Psychol Med. 2021 Jan;51(1):90-101. doi: 10.1017/S0033291719003027. Epub 2019 Nov 5.","Lai WT","Psychol Med","2021","2019/11/06","","","10.1017/S0033291719003027"
"30794085","Associations among diet, the gastrointestinal microbiota, and negative emotional states in adults","Taylor AM, Thompson SV, Edwards CG, Musaad SMA, Khan NA, Holscher HD.","Nutr Neurosci. 2020 Dec;23(12):983-992. doi: 10.1080/1028415X.2019.1582578. Epub 2019 Feb 22.","Taylor AM","Nutr Neurosci","2020","2019/02/23","","","10.1080/1028415X.2019.1582578"
"30415609","Fermented foods, the gut and mental health: a mechanistic overview with implications for depression and anxiety","Aslam H, Green J, Jacka FN, Collier F, Berk M, Pasco J, Dawson SL.","Nutr Neurosci. 2020 Sep;23(9):659-671. doi: 10.1080/1028415X.2018.1544332. Epub 2018 Nov 11.","Aslam H","Nutr Neurosci","2020","2018/11/13","","","10.1080/1028415X.2018.1544332"
"30466372","An intermittent hypercaloric diet alters gut microbiota, prefrontal cortical gene expression and social behaviours in rats","Reichelt AC, Loughman A, Bernard A, Raipuria M, Abbott KN, Dachtler J, Van TTH, Moore RJ.","Nutr Neurosci. 2020 Aug;23(8):613-627. doi: 10.1080/1028415X.2018.1537169. Epub 2018 Nov 22.","Reichelt AC","Nutr Neurosci","2020","2018/11/24","","","10.1080/1028415X.2018.1537169"
"31610228","Plasma cytokine levels in patients with chronic alcohol overconsumption: Relations to gut microbiota markers and clinical correlates","Bjørkhaug ST, Neupane SP, Bramness JG, Aanes H, Skar V, Medhus AW, Valeur J.","Alcohol. 2020 Jun;85:35-40. doi: 10.1016/j.alcohol.2019.10.002. Epub 2019 Oct 11.","Bjørkhaug ST","Alcohol","2020","2019/10/15","","","10.1016/j.alcohol.2019.10.002"
"31566046","Gut microbiota and health","Kc D, Sumner R, Lippmann S.","Postgrad Med. 2020 Apr;132(3):274. doi: 10.1080/00325481.2019.1662711. Epub 2019 Sep 28.","Kc D","Postgrad Med","2020","2019/10/01","","","10.1080/00325481.2019.1662711"
"31255682","Altered gut microbiota and mucosal immunity in patients with schizophrenia","Xu R, Wu B, Liang J, He F, Gu W, Li K, Luo Y, Chen J, Gao Y, Wu Z, Wang Y, Zhou W, Wang M.","Brain Behav Immun. 2020 Mar;85:120-127. doi: 10.1016/j.bbi.2019.06.039. Epub 2019 Jun 27.","Xu R","Brain Behav Immun","2020","2019/07/01","","","10.1016/j.bbi.2019.06.039"
"30818031","Impact of chemotherapy on the association between fear of cancer recurrence and the gut microbiota in breast cancer survivors","Okubo R, Kinoshita T, Katsumata N, Uezono Y, Xiao J, Matsuoka YJ.","Brain Behav Immun. 2020 Mar;85:186-191. doi: 10.1016/j.bbi.2019.02.025. Epub 2019 Feb 25.","Okubo R","Brain Behav Immun","2020","2019/03/01","","","10.1016/j.bbi.2019.02.025"
"31955786","Neuroactive compounds in foods: Occurrence, mechanism and potential health effects","Yılmaz C, Gökmen V.","Food Res Int. 2020 Feb;128:108744. doi: 10.1016/j.foodres.2019.108744. Epub 2019 Oct 31.","Yılmaz C","Food Res Int","2020","2020/01/21","","","10.1016/j.foodres.2019.108744"
