PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36989335","Treatment response to supplemental nutrients for ADHD is independent of diet quality: the MADDY Study RCT","Robinette LM, Hatsu IE, Johnstone JM, Bruton AM, Leung BMY, Arnold LE.","Nutr Neurosci. 2024 Apr;27(4):319-328. doi: 10.1080/1028415X.2023.2191415. Epub 2023 Mar 29.","Robinette LM","Nutr Neurosci","2024","2023/03/29","PMC10539486","NIHMS1885282","10.1080/1028415X.2023.2191415"
"37071196","Development of the gut microbiota in the first 14 years of life and its relations to internalizing and externalizing difficulties and social anxiety during puberty","Ou Y, Belzer C, Smidt H, de Weerth C.","Eur Child Adolesc Psychiatry. 2024 Mar;33(3):847-860. doi: 10.1007/s00787-023-02205-9. Epub 2023 Apr 18.","Ou Y","Eur Child Adolesc Psychiatry","2024","2023/04/18","PMC10894087","","10.1007/s00787-023-02205-9"
"36877601","The role of vitamin D in depression and anxiety disorders: a review of the literature","Renteria K, Nguyen H, Koh GY.","Nutr Neurosci. 2024 Mar;27(3):262-270. doi: 10.1080/1028415X.2023.2186318. Epub 2023 Mar 6.","Renteria K","Nutr Neurosci","2024","2023/03/06","","","10.1080/1028415X.2023.2186318"
"38525261","Impact of dietary fiber on gut microbiota composition, function and gut-brain-modules in healthy adults - a systematic review protocol","Lachmansingh DA, Valderrama B, Bastiaanssen T, Cryan J, Clarke G, Lavelle A.","HRB Open Res. 2024 Feb 26;6:62. doi: 10.12688/hrbopenres.13794.2. eCollection 2023.","Lachmansingh DA","HRB Open Res","2024","2024/03/25","PMC10958149","","10.12688/hrbopenres.13794.2"
"38353184","Stressed to the Core: Inflammation and Intestinal Permeability Link Stress-Related Gut Microbiota Shifts to Mental Health Outcomes","Madison AA, Bailey MT.","Biol Psychiatry. 2024 Feb 15;95(4):339-347. doi: 10.1016/j.biopsych.2023.10.014. Epub 2023 Oct 29.","Madison AA","Biol Psychiatry","2024","2024/02/14","PMC10867428","NIHMS1953650","10.1016/j.biopsych.2023.10.014"
"38132705","Association of homelessness and diet on the gut microbiome: a United States-Veteran Microbiome Project (US-VMP) study","Hoisington AJ, Stearns-Yoder KA, Stamper CE, Holliday R, Brostow DP, Penzenik ME, Forster JE, Postolache TT, Lowry CA, Brenner LA.","mSystems. 2024 Jan 23;9(1):e0102123. doi: 10.1128/msystems.01021-23. Epub 2023 Dec 22.","Hoisington AJ","mSystems","2024","2023/12/22","PMC10804991","","10.1128/msystems.01021-23"
"38170072","Global scientific trends in healthy aging in the early 21st century: A data-driven scientometric and visualized analysis","Zhang Y, Gu Z, Xu Y, He M, Gerber BS, Wang Z, Liu F, Peng C.","Heliyon. 2023 Dec 9;10(1):e23405. doi: 10.1016/j.heliyon.2023.e23405. eCollection 2024 Jan 15.","Zhang Y","Heliyon","2023","2024/01/03","PMC10758827","","10.1016/j.heliyon.2023.e23405"
"38123016","The many faces of microbiota-gut-brain axis in autism spectrum disorder","Gonçalves CL, Doifode T, Rezende VL, Costa MA, Rhoads JM, Soutullo CA.","Life Sci. 2024 Jan 15;337:122357. doi: 10.1016/j.lfs.2023.122357. Epub 2023 Dec 19.","Gonçalves CL","Life Sci","2024","2023/12/20","","","10.1016/j.lfs.2023.122357"
"37879416","Depression-like phenotypes in mice with hepatic ischemia/reperfusion injury: A role of gut-microbiota-liver-brain axis via vagus nerve","Yang Y, Eguchi A, Wan X, Mori C, Hashimoto K.","J Affect Disord. 2024 Jan 15;345:157-167. doi: 10.1016/j.jad.2023.10.142. Epub 2023 Oct 24.","Yang Y","J Affect Disord","2024","2023/10/25","","","10.1016/j.jad.2023.10.142"
"37574818","Ameliorative effect of Lactobacillus plantarum CCFM8661 on oleic acid-induced acne: integrated gut microbiota link to acne pathogenesis","Ai J, Ma W, Pan Z, Mao B, Tang X, Zhang Q, Zhao J, Chen W, Cui S.","J Sci Food Agric. 2024 Jan 15;104(1):328-339. doi: 10.1002/jsfa.12921. Epub 2023 Sep 4.","Ai J","J Sci Food Agric","2024","2023/08/14","","","10.1002/jsfa.12921"
