pmid,title,abstract,journal,year,authors
31859119,"Infections, antibiotic treatment and the Microbiome in relation to schizophrenia.","Schizophrenia is a heterogeneous disorder with several potential pathophysiological mechanisms, including immune activation. Infections have been identified as a significant contributing risk factor for schizophrenia; this association is reviewed together with the potential impact of antibiotic treatment and alterations of the intestinal microbiota. Both infections and the treatment with antibiotics may alter the composition of the gut microbiota, causing dysbiosis, which in animal studies has been associated with alterations of behavior. Of the few studies that have been conducted on humans, some have suggested alterations in the microbial composition of individuals with schizophrenia compared to healthy controls, albeit with conflicting results. Recently, increased attention has emerged regarding potential adverse effects from antibiotics, as a number of these have been associated with an increased risk of psychotic episodes. Particularly, the fluoroquinolones have been associated with neurotoxic adverse events. The association between schizophrenia and infections, antibiotic treatment and dysbiosis, may be an epiphenomenon, which could be explained by other confounding factors. However, these associations could be causal and could therefore be important risk factors in a subgroup of patients. Large-scale well-matched longitudinal studies are needed with measurements of immune markers from multiple biological samples, ranging from material close to the brain, as cerebrospinal fluid and brain-scans targeting neuroinflammation, to analysis of blood and intestinal microbiota. This would help to obtain more definite results on the association between infections, immune components and microbiota alterations in relation to schizophrenia.",Schizophrenia research,2021,Amalie W Klein-Petersen; Ole Köhler-Forsberg; Michael E Benros
31685046,Shotgun metagenomics reveals both taxonomic and tryptophan pathway differences of gut microbiota in major depressive disorder patients.,"The microbiota-gut-brain axis, especially the microbial tryptophan (Trp) biosynthesis and metabolism pathway (MiTBamp), may play a critical role in the pathogenesis of major depressive disorder (MDD). However, studies on the MiTBamp in MDD are lacking. The aim of the present study was to analyze the gut microbiota composition and the MiTBamp in MDD patients.We performed shotgun metagenomic sequencing of stool samples from 26 MDD patients and 29 healthy controls (HCs). In addition to the microbiota community and the MiTBamp analyses, we also built a classification based on the Random Forests (RF) and Boruta algorithm to identify the gut microbiota as biomarkers for MDD.The Bacteroidetes abundance was strongly reduced whereas that of Actinobacteria was significantly increased in the MDD patients compared with the abundance in the HCs. Most noteworthy, the MDD patients had increased levels of Bifidobacterium, which is commonly used as a probiotic. Four Kyoto Encyclopedia of Genes and Genomes (KEGG) orthologies (KOs) (K01817, K11358, K01626, K01667) abundances in the MiTBamp were significantly lower in the MDD group. Furthermore, we found a negative correlation between the K01626 abundance and the HAMD scores in the MDD group. Finally, RF classification at the genus level can achieve an area under the receiver operating characteristic curve of 0.890.The present findings enabled a better understanding of the changes in gut microbiota and the related Trp pathway in MDD. Alterations of the gut microbiota may have the potential as biomarkers for distinguishing MDD patients form HCs.",Psychological medicine,2021,Wen-Tao Lai; Wen-Feng Deng; Shu-Xian Xu; Jie Zhao; Dan Xu; Yang-Hui Liu; Yuan-Yuan Guo; Ming-Bang Wang; Fu-Sheng He; Shu-Wei Ye; Qi-Fan Yang; Tie-Bang Liu; Ying-Li Zhang; Sheng Wang; Min-Zhi Li; Ying-Jia Yang; Xin-Hui Xie; Han Rong
30794085,"Associations among diet, the gastrointestinal microbiota, and negative emotional states in adults.","<b>Objective:</b> Habitual diet impacts mood and the human gastrointestinal (GI) microbiota. Yet, studies infrequently control for diet when evaluating associations between mood and GI microbiota. Accordingly, we aimed to investigate relationships among diet, GI microbiota, and mood in adults without mood disorders by conducting a cross-sectional examination of dietary intake, subjective emotional state, and fecal microbial taxa abundances. <b>Methods:</b> Adults (<i>N</i> = 133; 25-45 years of age) without physician-diagnosed mood disorders were studied. Fecal DNA was extracted, and the V4 region of the 16S rRNA gene was sequenced. Sequences were analyzed using QIIME2. Subjective mood state was assessed using the 42-item Depression, Anxiety, and Stress Scale (DASS-42). Habitual dietary intake was measured with the National Cancer Institute's Diet History Questionnaire II, and diet quality was evaluated with the 2010 Healthy Eating Index (HEI). <b>Results:</b> Relationships were observed between 28 bacterial taxa and DASS-42 scores. Sex-dependent associations were observed among 21 bacterial taxa and DASS-42 scores, including an inverse relationship between Anxiety scale scores and <i>Bifidobacterium</i> in females and an inverse relationship between Depression scale scores and <i>Lactobacillus</i> in males. HEI total fruit and dairy components were inversely associated with Depression and Stress scales, respectively. <b>Conclusions:</b> These results suggest GI microbes are related to mood in adults without diagnosed mood disorders and that these relationships differ by sex and are influenced by dietary fiber intake. Incorporating dietary intake data in gut-microbiota-brain studies may help clarify the roles of specific microbes and dietary components in mental health symptoms.",Nutritional neuroscience,2020,Andrew M Taylor; Sharon V Thompson; Caitlyn G Edwards; Salma M A Musaad; Naiman A Khan; Hannah D Holscher
30415609,"Fermented foods, the gut and mental health: a mechanistic overview with implications for depression and anxiety.","Mental disorders including depression and anxiety are often comorbid with gut problems, suggesting a bidirectional relationship between mental health and gut function. Several mechanisms might explain this comorbidity, such as inflammation and immune activation; intestinal permeability; perturbations in the hypothalamic-pituitary-adrenal axis; neurotransmitter/neuropeptide dysregulation; dietary deficiencies; and disturbed gut microbiome composition. The potential of modulating the microbiome-gut-brain axis, and subsequently mental health, through the use of functional foods, is an emerging and novel topic of interest. Fermented foods are considered functional foods due to their putative health benefits. The process of microbial fermentation converts food substrates into more nutritionally and functionally rich products, resulting in functional microorganisms (probiotics), substrates that enhance proliferation of beneficial bacteria in the gut (prebiotics), and bioactive components (biogenics). These functional ingredients act biologically in the gastrointestinal tract and have the ability to modify the gut microbiota, influence translocation of endotoxins and subsequent immune activation, and promote host nutrition. This narrative review explores the theoretical potential of the functional components present in fermented foods to alter gut physiology and to impact the biological mechanisms thought to underpin depression and anxiety. Pre-clinical studies indicate the benefits of fermented foods in relieving perturbed gut function and for animal models of depression and anxiety. However, in humans, the literature relating to the relevance of fermented food for treating or preventing depression and anxiety is sparse, heterogeneous and has significant limitations. This review identifies a critical research gap for further evaluation of fermented foods in the management of depression anxiety in humans.",Nutritional neuroscience,2020,Hajara Aslam; Jessica Green; Felice N Jacka; Fiona Collier; Michael Berk; Julie Pasco; Samantha L Dawson
30466372,"An intermittent hypercaloric diet alters gut microbiota, prefrontal cortical gene expression and social behaviours in rats.","<b>Objectives:</b> Excessive consumption of high fat and high sugar (HFHS) diets alters reward processing, behaviour, and changes gut microbiota profiles. Previous studies in gnotobiotic mice also provide evidence that these gut microorganisms may influence social behaviour. To further investigate these interactions, we examined the impact of the intermittent access to a HFHS diet on social behaviour, gene expression and microbiota composition in adolescent rats. <b>Methods:</b> Male rats were permitted intermittent daily access (2 h / day) to a palatable HFHS chow diet for 28 days across adolescence. Social interaction, social memory and novel object recognition were assessed during this period. Following testing, RT-PCR was conducted on hippocampal and prefrontal cortex (PFC) samples. 16S ribosomal RNA amplicon sequencing was used for identification and relative quantification of bacterial taxa in faecal samples. <b>Results:</b> We observed reduced social interaction behaviours, impaired social memory and novel object recognition in HFHS diet rats compared to chow controls. RT-PCR revealed reduced levels of monoamine oxidase A (<i>Maoa</i>), catechol-O-methyltransferase (<i>Comt</i>) and brain derived neurotrophic factor (<i>Bdnf</i>) mRNA in the PFC of HFHS diet rats. Faecal microbiota analysis demonstrated that the relative abundance of a number of specific bacterial taxa differed significantly between the two diet groups, in particular, <i>Lachnospiraceae</i> and <i>Ruminoccoceae</i> bacteria. <b>Discussion:</b> Intermittent HFHS diet consumption evoked physiological changes to the brain, particularly expression of mRNA associated with reward and neuroplasticity, and gut microbiome. These changes may underpin the observed alterations to social behaviours.",Nutritional neuroscience,2020,Amy C Reichelt; Amy Loughman; Ashton Bernard; Mukesh Raipuria; Kirsten N Abbott; James Dachtler; Thi Thu Hao Van; Robert J Moore
31610228,Plasma cytokine levels in patients with chronic alcohol overconsumption: Relations to gut microbiota markers and clinical correlates.,"Alcohol-related morbidity may involve changes in the gut microbiota and immune dysregulation. We have previously demonstrated alterations in gut microbiota composition and functions in patients with alcohol overconsumption, and now aimed to investigate possible associations between cytokine levels, gut microbiota, and clinical symptoms.We included hospital inpatients with a history of chronic alcohol overconsumption. For comparison, we included control patients with a low alcohol intake. Cytokine levels (TGF-β1, TNF-α, IL-10, IL-8, IL-6, IFN-γ, MCP-1, IL-1RA, IL-1β, and IL-17) were determined using a customized V-plex assay. We then examined associations of cytokine levels with the abundance of Proteobacteria and Faecalibacterium, percentage of the short-chain fatty acid butyrate, psychiatric symptoms (Hospital Anxiety and Depression Scale), and biochemical liver variables.We included 28 patients with alcohol overconsumption (79% men), and 25 control patients (72% men). Patients with alcohol overconsumption had higher levels of IL-6 (p = 0.002), IFN-γ (p = 0.018), and MCP-1 (p = 0.006), and lower levels of TGF-β1 (p = 0.017) compared with control patients. Inverse correlations were found between Proteobacteria abundance and TNF-α (R<sub>s</sub> = -0.55, p = 0.02) and IL-8 (R<sub>s</sub> = -0.58, p = 0.014), and between Faecalibacterium and MCP-1 levels (R<sub>s</sub> = -0.56, p = 0.02) in the control patients, but not in patients with alcohol overconsumption. Patients with alcohol overconsumption reported more psychiatric symptoms, and these symptoms were inversely correlated with IL-10 levels. There were positive correlations between several of the assessed cytokines and biochemical liver variables, and negative correlations between cytokine levels and albumin.Patients with alcohol overconsumption had a cytokine profile suggestive of increased systemic inflammatory activity, with higher levels of pro-inflammatory cytokines (IL-6, IFN-γ, and MCP-1) and lower levels of anti-inflammatory cytokines (TGF-β1). The findings may represent a link between alcohol use and alcohol-related morbidity.","Alcohol (Fayetteville, N.Y.)",2020,Steinar Traae Bjørkhaug; Sudan Prasad Neupane; Jørgen G Bramness; Håvard Aanes; Viggo Skar; Asle W Medhus; Jørgen Valeur
31255682,Altered gut microbiota and mucosal immunity in patients with schizophrenia.,"Evidence shows that gut microbiota may play important roles in schizophrenia pathogenesis via the ""gut-brain"" axis, but the mechanisms remain unclear. Here, eighty-four patients with schizophrenia and 84 sex- and age-matched healthy controls were enrolled. Shotgun metagenomic sequencing and 16S rRNA sequencing were performed, and the gut microbiota-associated epitopes (MEs) were predicted, which, together with IgA content, were used to determine the gut microbiota composition associated with gut immune status. Patients with schizophrenia had significantly reduced gut microbiota richnesses compared with those of the healthy controls, and the gut microbiota compositions clearly distinguished the patients with schizophrenia from the healthy controls. Based on two-stage metagenomic-wide association studies, nineteen gut microbiota taxonomies were associated with schizophrenia, and the microbial dysbiosis (MD) index was calculated based on the abundance of differential taxonomies. We found that MD index was positively correlated with MEs diversity and gut IgA levels, and negatively correlated with gut microbiota richness. Glutamate synthase (GOGAT) was more active in the guts of patients with schizophrenia than in those of healthy controls, and high GOGAT activity was associated with altered gut microbiota taxonomies associated with gut IgA levels. Our results may imply a role of the microbiome in the etiology of schizophrenia and contribute to the development of microbiome targeted interventions for schizophrenia.","Brain, behavior, and immunity",2020,Ruihuan Xu; Bingbing Wu; Jingwen Liang; Fusheng He; Wen Gu; Kang Li; Yi Luo; Jianxia Chen; Yongbo Gao; Ze Wu; Yongqiang Wang; Wenhao Zhou; Mingbang Wang
30818031,Impact of chemotherapy on the association between fear of cancer recurrence and the gut microbiota in breast cancer survivors.,"Dysfunctional processing of fear memory may be involved in the pathophysiology of fear of cancer recurrence (FCR), which is cited as the major unmet psychological need of cancer survivors. Emerging evidence has shown that the microbiota-gut-brain (MGB) axis affects depressive and anxiety disorders, and chemotherapy-associated psychological distress. We therefore hypothesized that the gut microbiota is associated with FCR in cancer survivors.This cross-sectional study enrolled women diagnosed with invasive breast cancer who were not currently undergoing chemotherapy. Fecal samples were obtained to assess the gut microbiota. FCR grade was assessed using the Concerns About Recurrence Scale (CARS).Mean age of the participants (n = 126) was 58 years; 47% had stage I disease. Multiple regression analysis with adjustment for possible confounders showed that the relative abundance of the Bacteroides genus (beta = 0.180, p = 0.03) was significantly and directly associated with FCR. In the 57 participants with a history of chemotherapy, higher FCR was associated with lower microbial diversity (p = 0.04), lower relative abundance of Firmicutes (p = 0.03) and higher relative abundance of Bacteroidetes (p = 0.04) at the phylum level, and higher relative abundance of Bacteroides (p < 0.01) and lower relative abundance of Lachnospiraceae.g (p = 0.03) and Ruminococcus (p = 0.02) at the genus level.Our findings provide the first evidence of an association between the gut microbiota and FCR and suggest that chemotherapy-induced changes in gut microbiota can influence FCR. Further studies should examine the effects of the gut microbiota on FCR using a prospective design.","Brain, behavior, and immunity",2020,Ryo Okubo; Takayuki Kinoshita; Noriko Katsumata; Yasuhito Uezono; Jinzhong Xiao; Yutaka J Matsuoka
31955786,"Neuroactive compounds in foods: Occurrence, mechanism and potential health effects.","Neuroactive compounds are synthesized by certain plants and microorganisms by undertaking different tasks, especially as a stress response. Most common neuroactive compounds in foods are gamma-aminobutyric acid (GABA), serotonin, melatonin, kynurenine, kynurenic acid, dopamine, norepinephrine, histamine, tryptamine, tyramine and β-phenylethylamine. Fermented foods contain some of these compounds, which can affect human health and mood. Moreover, food processing such as roasting and malting alter amount and profile of neuroactive compounds in foods. In addition to plant-origin and microbially-formed neuroactive compounds in foods, these substances are also formed by gut microbiota, which is the most attractive subject to assess the interaction between gut microbiota and mental health. The discovery of microbiota-gut-brain axis calls for the investigation of the effects of diet on the formation of neuroactive compounds in the gut. Furthermore, probiotics and prebiotics are indispensable elements for the understanding of the food-mood relationship. The focus of this comprehensive review is to investigate the neuroactive compounds found naturally in foods or formed during fermentation. Their formation pathways in humans, plants and microorganisms, potential health effects, effects of diet on the formation of microbial metabolites including neuroactive compounds in the gut are discussed throughout this review. Furthermore, the importance of gut-brain axis, probiotics and prebiotics are discussed.","Food research international (Ottawa, Ont.)",2020,Cemile Yılmaz; Vural Gökmen
31628992,"Exercise, diet and stress as modulators of gut microbiota: Implications for neurodegenerative diseases.","The last decade has witnessed an exponentially growing interest in gut microbiota and the gut-brain axis in health and disease. Accumulating evidence from preclinical and clinical research indicate that gut microbiota, and their associated microbiomes, may influence pathogenic processes and thus the onset and progression of various diseases, including neurological and psychiatric disorders. In fact, gut dysbiosis (microbiota dysregulation) has been associated with a range of neurodegenerative diseases, including Alzheimer's, Parkinson's, Huntington's and motor neuron disease, as well as multiple sclerosis. The gut microbiota constitutes a dynamic microbial system constantly challenged by many biological variables, including environmental factors. Since the gut microbiota constitute a changeable and experience-dependent ecosystem, they provide potential therapeutic targets that can be modulated as new interventions for dysbiosis-related disorders, including neurodegenerative diseases. This article reviews the evidence for environmental modulation of gut microbiota and its relevance to brain disorders, exploring in particular the implications for neurodegenerative diseases. We will focus on three major environmental factors that are known to influence the onset and progression of those diseases, namely exercise, diet and stress. Further exploration of environmental modulation, acting via both peripheral (e.g. gut microbiota and associated metabolic dysfunction or 'metabolopathy') and central (e.g. direct effects on CNS neurons and glia) mechanisms, may lead to the development of novel therapeutic approaches, such as enviromimetics, for a wide range of neurological and psychiatric disorders.",Neurobiology of disease,2020,Carolina Gubert; Geraldine Kong; Thibault Renoir; Anthony J Hannan
