pmid,title,abstract,journal,year,authors
35572407,Interplay of gut microbiota and oxidative stress: Perspective on neurodegeneration and neuroprotection.,"Recent research on the implications of gut microbiota on brain functions has helped to gather important information on the relationship between them. Pathogenesis of neurological disorders is found to be associated with dysregulation of gut-brain axis. Some gut bacteria metabolites are found to be directly associated with the increase in reactive oxygen species levels, one of the most important risk factors of neurodegeneration. Besides their morbid association, gut bacteria metabolites are also found to play a significant role in reducing the onset of these life-threatening brain disorders.Studies done in the recent past raises two most important link between gut microbiota and the brain: ""gut microbiota-oxidative stress-neurodegeneration"" and gut microbiota-antioxidant-neuroprotection. This review aims to gives a deep insight to our readers, of the collective studies done, focusing on the gut microbiota mediated oxidative stress involved in neurodegeneration along with a focus on those studies showing the involvement of gut microbiota and their metabolites in neuroprotection.This review is focused on three main key concepts. Firstly, the mounting evidences from clinical and preclinical arenas shows the influence of gut microbiota mediated oxidative stress resulting in dysfunctional neurological processes. Therefore, we describe the potential role of gut microbiota influencing the vulnerability of brain to oxidative stress, and a budding causative in Alzheimer's and Parkinson's disease. Secondly, contributing roles of gut microbiota has been observed in attenuating oxidative stress and inflammation via its own metabolites or by producing secondary metabolites and, also modulation in gut microbiota population with antioxidative and anti-inflammatory probiotics have shown promising neuro resilience. Thirdly, high throughput <i>in silico</i> tools and databases also gives a correlation of gut microbiome, their metabolites and brain health, thus providing fascinating perspective and promising new avenues for therapeutic options.",Journal of advanced research,2022,Shruti Shandilya; Sandeep Kumar; Niraj Kumar Jha; Kavindra Kumar Kesari; Janne Ruokolainen
35111696,Gut Microbiota: A Key Regulator in the Effects of Environmental Hazards on Modulates Insulin Resistance.,"Insulin resistance is a hallmark of Alzheimer's disease (AD), type II diabetes (T2D), and Parkinson's disease (PD). Emerging evidence indicates that these disorders are typically characterized by alterations in the gut microbiota composition, diversity, and their metabolites. Currently, it is understood that environmental hazards including ionizing radiation, toxic heavy metals, pesticides, particle matter, and polycyclic aromatic hydrocarbons are capable of interacting with gut microbiota and have a non-beneficial health effect. Based on the current study, we propose the hypothesis of ""gut microenvironment baseline drift"". According to this ""baseline drift"" theory, gut microbiota is a temporarily combined cluster of species sharing the same environmental stresses for a short period, which would change quickly under the influence of different environmental factors. This indicates that the microbial species in the gut do not have a long-term relationship; any split, division, or recombination may occur in different environments. Nonetheless, the ""baseline drift"" theory considers the critical role of the response of the whole gut microbiome. Undoubtedly, this hypothesis implies that the gut microbiota response is not merely a ""cross junction"" switch; in contrast, the human health or disease is a result of a rich palette of gut-microbiota-driven multiple-pathway responses. In summary, environmental factors, including hazardous and normal factors, are critical to the biological impact of the gut microbiota responses and the dual effect of the gut microbiota on the regulation of biological functions. Novel appreciation of the role of gut microbiota and environmental hazards in the insulin resistance would shed new light on insulin resistance and also promote the development of new research direction and new overcoming strategies for patients.",Frontiers in cellular and infection microbiology,2021,Ruixue Huang
35083314,The small bowel microbiome changes significantly with age and aspects of the ageing process.,"Gut microbiome changes have been associated with human ageing and implicated in age-related diseases including Alzheimer's disease and Parkinson's disease. However, studies to date have used stool samples, which do not represent the entire gut. Although more challenging to access, the small intestine plays critical roles in host metabolism and immune function. In this paper (Leite <i>et al.</i> (2021), Cell Reports, doi: 10.1016/j.celrep.2021.109765), we demonstrate significant differences in the small intestinal microbiome in older subjects, using duodenal aspirates from 251 subjects aged 18-80 years. Differences included significantly decreased microbial diversity in older subjects, driven by increased relative abundance of phylum Proteobacteria, particularly family Enterobacteriaceae and coliform genera <i>Escherichia</i> and <i>Klebsiella.</i> Moreover, while this decreased diversity was associated with the 'ageing process' (comprising chronologic age, number of medications, and number of concomitant diseases), changes in certain taxa were found to be associated with number of medications alone (<i>Klebsiella</i>), number of diseases alone (<i>Clostridium, Bilophila</i>), or chronologic age alone (<i>Escherichia</i>, <i>Lactobacillus, Enterococcus</i>). Lastly, many taxa associated with increasing chronologic age were anaerobes. These changes may contribute to changes in human health that occur during the ageing process.","Microbial cell (Graz, Austria)",2022,Gabriela Leite; Mark Pimentel; Gillian M Barlow; Ruchi Mathur
35069178,The Gut-Brain Axis and Its Relation to Parkinson's Disease: A Review.,"Parkinson's disease is a chronic neurodegenerative disease characterized by the accumulation of misfolded alpha-synuclein protein (Lewy bodies) in dopaminergic neurons of the <i>substantia nigra</i> and other related circuitry, which contribute to the development of both motor (bradykinesia, tremors, stiffness, abnormal gait) and non-motor symptoms (gastrointestinal issues, urinogenital complications, olfaction dysfunction, cognitive impairment). Despite tremendous progress in the field, the exact pathways and mechanisms responsible for the initiation and progression of this disease remain unclear. However, recent research suggests a potential relationship between the commensal gut bacteria and the brain capable of influencing neurodevelopment, brain function and health. This bidirectional communication is often referred to as the microbiome-gut-brain axis. Accumulating evidence suggests that the onset of non-motor symptoms, such as gastrointestinal manifestations, often precede the onset of motor symptoms and disease diagnosis, lending support to the potential role that the microbiome-gut-brain axis might play in the underlying pathological mechanisms of Parkinson's disease. This review will provide an overview of and critically discuss the current knowledge of the relationship between the gut microbiota and Parkinson's disease. We will discuss the role of α-synuclein in non-motor disease pathology, proposed pathways constituting the connection between the gut microbiome and the brain, existing evidence related to pre- and probiotic interventions. Finally, we will highlight the potential opportunity for the development of novel preventative measures and therapeutic options that could target the microbiome-gut-brain axis in the context of Parkinson's disease.",Frontiers in aging neuroscience,2021,Emily M Klann; Upuli Dissanayake; Anjela Gurrala; Matthew Farrer; Aparna Wagle Shukla; Adolfo Ramirez-Zamora; Volker Mai; Vinata Vedam-Mai
34965376,Alzheimer's Disease and Parkinson's Disease May Result from Reactivation of Embryologic Pathways Silenced at Birth.,"Alzheimer's disease (AD), Lewy Body Dementia (LBD), and Parkinson's disease (PD) form a continuum that may explain multiple aspects of age-related neurodegeneration. Inflammaging, the long-term result of the chronic physiological stimulation of the innate immune system, is integral to this process. The gut microbiome plays an important role in inflammaging, as it can release inflammatory products and communicate with other organs and systems. Although AD and PD are molecularly and clinically distinct disorders, their causes appear to underlie LBD. All three conditions lie on a continuum related to AD, PD, or LBD in vulnerable persons. Inflammation in AD is linked to cytokines and growth factors. Moreover, cytokines and neurotrophins profoundly affect PD and LBD. Growth factors, neurotrophins and cytokines are also involved in embryo neural development. Cytokines influence gene expression, metabolism, cell stress, and apoptosis in the preimplantation embryo. The responsible genes are silenced around birth. But if activated by inflammaging and viruses in the brain decades later, they could destroy the same neural structures they created in utero. For this reason, the pathology and progression of AD, LBD, and PD would be unique. Embryonic reactivation could explain two well documented features of AD. 1) NSAIDs reduce AD risk but fail as a treatment. 2) NSAIDs reduce AD risk because they suppress inflammaging. But they are not a treatment because they cannot silence the embryonic genes that have become active and damage the brain.",Discovery medicine,2021,Steven Lehrer; Peter H Rheinstein
34908715,Gut-brain axis: Synergistic approach.,"Since decades, there is a change in concept of the gut-brain axis. There is differential increase in evidences focusing on the bidirectional communication between the gut microbiome and the brain. It supports existence of far-reaching model of ""gut-brain axis."" This axis is attaining more adherence to fields investigating biological and physiological footing of psychiatric, neuro-developmental, age-related, and neurodegenerative disorders. Many factors can change microbiota composition in early life as well as with the increasing age. Stress can affect the microbiota-gut-brain axis at every stages of life. Recent advances have involved the gut microbiota in many conditions including severe mental illness, autism, anxiety, obesity, Parkinson's disease, and Alzheimer's disease. The current studies target on elaborating the underlying mechanisms of microbiota-gut-brain axis and attempt to exemplify intervention and therapeutic strategies for neuropsychiatric disorders.",Industrial psychiatry journal,2021,Markanday Sharma; Jyoti Prakash; Prateek Yadav; Kalpana Srivastava; Kaushik Chatterjee
34888340,Neuroprotection by the Ketogenic Diet: Evidence and Controversies.,"The ketogenic diet (KD) is a high-fat low-carbohydrate diet that has been used for decades as a non-pharmacologic approach to treat metabolic disorders and refractory pediatric epilepsy. In recent years, enthusiasm for the KD has increased in the scientific community due to evidence that the diet reduces pathology and improves various outcome measures in animal models of neurodegenerative disorders, including multiple sclerosis, stroke, glaucoma, spinal cord injury, retinal degenerations, Parkinson's disease and Alzheimer's disease. Clinical trials also suggest that the KD improved quality of life in patients with multiple sclerosis and Alzheimer's disease. Furthermore, the major ketone bodies BHB and ACA have potential neuroprotective properties and are now known to have direct effects on specific inflammatory proteins, transcription factors, reactive oxygen species, mitochondria, epigenetic modifications and the composition of the gut microbiome. Neuroprotective benefits of the KD are likely due to a combination of these cellular processes and other potential mechanisms that are yet to be confirmed experimentally. This review provides a comprehensive summary of current evidence for the effectiveness of the KD in humans and preclinical models of various neurological disorders, describes molecular mechanisms that may contribute to its beneficial effects, and highlights key controversies and current gaps in knowledge.",Frontiers in nutrition,2021,Sarah M Gough; Alicia Casella; Kristen Jasmin Ortega; Abigail S Hackam
34884399,Differences in the Composition of Gut Microbiota between Patients with Parkinson's Disease and Healthy Controls: A Cohort Study.,"Gut microbiome and colonic inflammation can be associated with the predisposition and progression of Parkinson's disease (PD). The presented study aimed to compare gastrointestinal microbiota composition between patients diagnosed with PD and treated only with Levodopa to healthy controls. In this prospective study, patients were recruited in 1 academic hospital from July 2019 to July 2020. The detailed demographic data and medical history were collected using a set of questionnaires. Fecal samples were obtained from all participants. Next-Generation Sequencing was used to assess the microbiota composition. The endpoint was the difference in composition of the gut microbiota. In this study, we enrolled 27 hospitalized PD patients with well-controlled symptoms. The control group included 44 healthy subjects matched for age. Among PD patients, our results presented a higher abundance of <i>Bacteroides</i> phylum, class <i>Corynebacteria</i> among phylum <i>Actinobacteria</i>, class <i>Deltaproteobacteria</i> among phylum <i>Proteobacteria</i>, and genera such as <i>Butyricimonas, Robinsoniella</i>, and <i>Flavonifractor</i>. The species <i>Akkermansia muciniphila</i>, <i>Eubacterium biforme</i>, and <i>Parabacteroides merdae</i> were identified as more common in the gut microbiota of PD patients. In conclusion, the patients diagnosed with PD have significantly different gut microbiota profiles in comparison with healthy controls.",Journal of clinical medicine,2021,Barbara Zapała; Tomasz Stefura; Magdalena Wójcik-Pędziwiatr; Radosław Kabut; Marta Bałajewicz-Nowak; Tomasz Milewicz; Alicja Dudek; Anastazja Stój; Monika Rudzińska-Bar
34876830,"Common Inflammatory Mechanisms in COVID-19 and Parkinson's Diseases: The Role of Microbiome, Pharmabiotics and Postbiotics in Their Prevention.","In the last decade, metagenomic studies have shown the key role of the gut microbiome in maintaining immune and neuroendocrine systems. Malfunction of the gut microbiome can induce inflammatory processes, oxidative stress, and cytokine storm. Dysfunction of the gut microbiome can be caused by short-term (virus infection and other infectious diseases) or long-term (environment, nutrition, and stress) factors. Here, we reviewed the inflammation and oxidative stress in neurodegenerative diseases and coronavirus infection (COVID-19). Here, we reviewed the renin-angiotensin-aldosterone system (RAAS) involved in the processes of formation of oxidative stress and inflammation in viral and neurodegenerative diseases. Moreover, the coronavirus uses ACE2 receptors of the RAAS to penetrate human cells. The coronavirus infection can be the trigger for neurodegenerative diseases by dysfunction of the RAAS. Pharmabiotics, postbiotics, and next-generation probiotics, are considered as a means to prevent oxidative stress, inflammatory processes, neurodegenerative and viral diseases through gut microbiome regulation.",Journal of inflammation research,2021,Valery Danilenko; Andrey Devyatkin; Mariya Marsova; Madina Shibilova; Rustem Ilyasov; Vladimir Shmyrev
34853754,Role of Gastrointestinal Dysbiosis and Fecal Transplantation in Parkinson's Disease.,"Parkinson's disease (PD) is one of the most common neurodegenerative diseases with a high rate of morbidity. It is associated with dopaminergic neuron loss and is fairly common in the elderly population. Recently, there has been a growing interest in the role of the gut microbiome in the pathogenesis of PD and thus studies addressing the methods to modulate the microbiota are becoming increasingly popular. Fecal microbiota transplant (FMT) is one of these methods and is effective in certain intestinal and extraintestinal conditions. This review aims to talk about gastrointestinal dysbiosis and how the reconstruction of this microbiome via FMT could potentially be used as a treatment modality in the future. We went through various studies and collected data relevant to our topic from the previous five years. The studies selected include reviews, observational studies, animal studies, case reports, and some grey literature. We concluded that although it has great potential as a therapeutic modality in the future, it is limited by several factors such as variability among the results of most clinical studies and the lack of large sample sizes. Therefore, there is a need for high-quality clinical trials with larger sample sizes to gather enough clinical evidence so that FMT can qualify as a widely recommended therapeutic measure.",Cureus,2021,Rahul Jena; Ruchi Jain; Suchitra Muralidharan; Vijaya Lakshmi Yanamala; Zainab Zubair; Ketan Kantamaneni; Krishi Jalla; Mahvish Renzu; Michael Alfonso
