pmid,title,abstract,journal,year,authors
33860090,Probiotics for Parkinson's disease: Current evidence and future directions.,"The gut-brain axis is a hot topic in Parkinson's disease (PD). It has been postulated that gut pathogens and dysbiosis can contribute to peripheral inflammatory states or trigger downstream metabolic effects that exacerbate the neurodegenerative process in PD. Several preclinical and clinical studies have demonstrated disrupted intestinal permeability, intestinal inflammation, altered gut microbiome, and reduced fecal short-chain fatty acids in PD. In this regard, microbial-directed therapies such as probiotics are emerging as potential therapeutic options. Probiotic supplementation is postulated to confer a variety of health benefits due to the diverse functions of these live microorganisms, including inhibition of pathogen colonization, modulation/""normalization"" of the microbiome and/or its function, immunomodulatory effects (e.g. reducing inflammation), and improved host epithelial barrier function. Interestingly, several PD animal model studies have demonstrated the potential neuroprotective effects of probiotics in reducing dopaminergic neuronal degeneration. Notably, two randomized placebo-controlled trials have provided class I evidence for probiotics as a treatment for constipation in PD. However, the effects of probiotics on other PD aspects, such as motor disability and cognitive function, and its long-term efficacy (including effects on PD drug absorption in the gut) have not been investigated adequately. Further targeted animal and human studies are also warranted to understand the mechanisms of actions of probiotics in PD and to tailor probiotic therapy based on individual host profiles to improve patient outcomes in this disabling disorder.",JGH open : an open access journal of gastroenterology and hepatology,2021,Ai Huey Tan; Jia Wei Hor; Chun Wie Chong; Shen-Yang Lim
33488420,Bibliometric and Visual Analysis of Research on the Links Between the Gut Microbiota and Depression From 1999 to 2019.,"<b>Background:</b> There is a crucial link between the gut microbiota and the host central nervous system, and the communication between them occurs <i>via</i> a bidirectional pathway termed the ""microbiota-gut-brain axis."" The gut microbiome in the modern environment has markedly changed in response to environmental factors. These changes may affect a broad range of host psychiatric disorders, such as depression, by interacting with the host through metabolic, immune, neural, and endocrine pathways. Nevertheless, the general aspects of the links between the gut microbiota and depression have not been systematically investigated through bibliometric analysis. <b>Aim:</b> This study aimed to analyze the current status and developing trends in gut microbiota research in the depression field through bibliometric and visual analysis. <b>Methods:</b> A total of 1,962 publications published between 1999 and 2019 were retrieved from the Web of Science Core Collection. CiteSpace (5.6 R5) was used to perform collaboration network analysis, co-citation analysis, co-occurrence analysis, and citation burst detection. <b>Results:</b> The number of publications has been rapidly growing since 2010. The collaboration network analysis revealed that the USA, University College Cork, and John F. Cryan were the most influential country, institute, and scholar, respectively. The most productive and co-cited journals were <i>Brain Behavior and Immunity</i> and <i>Proceedings of the National Academy of Sciences of the United States of America</i>, respectively. The co-citation analysis of references revealed that the most recent research focus was in the largest theme cluster, ""cytokines,"" thus reflecting the important research foundation in this field. The co-occurrence analysis of keywords revealed that ""fecal microbiota"" and ""microbiome"" have become the top two research hotspots since 2013. The citation burst detection for keywords identified several keywords, including ""Parkinson's disease,"" ""microbiota-gut-brain axis,"" ""microbiome,"" ""dysbiosis,"" ""bipolar disorder,"" ""impact,"" ""C reactive protein,"" and ""immune system,"" as new research frontiers, which have currently ongoing bursts. <b>Conclusions:</b> These results provide an instructive perspective on the current research and future directions in the study of the links between the gut microbiota and depression, which may help researchers choose suitable cooperators or journals, and promote their research illustrating the underlying molecular mechanisms of depression, including its etiology, prevention, and treatment.",Frontiers in psychiatry,2020,Xiuqing Zhu; Jinqing Hu; Shuhua Deng; Yaqian Tan; Chang Qiu; Ming Zhang; Xiaojia Ni; Haoyang Lu; Zhanzhang Wang; Lu Li; Hongzhen Chen; Shanqing Huang; Tao Xiao; Dewei Shang; Yuguan Wen
33240722,Gut-Brain Axis and its Neuro-Psychiatric Effects: A Narrative Review.,"The gut microbiota regulates the function and health of the human gut. Preliminary evidence suggests its impact on multiple human systems including the nervous and immune systems. A major area of research has been the directional relationship between intestinal microbiota and the central nervous system (CNS), called the microbiota-gut-brain axis. It is hypothesized that the intestinal microbiota affects brain activity and behavior via endocrine, neural, and immune pathways. An alteration in the composition of the gut microbiome has been linked to a variety of neurodevelopmental and neurodegenerative disorders. The connection between gut microbiome and several CNS disorders indicates that the focus of research in the future should be on the bacterial and biochemical targets. Through this review, we outline the established knowledge regarding the gut microbiome and gut-brain axis. In addition to gut microbiome in neurological and psychiatry diseases, we have briefly discussed microbial metabolites affecting the blood-brain barrier (BBB), immune dysregulation, modification of autonomic sensorimotor connections, and hypothalamus-pituitary-adrenal axis.",Cureus,2020,Likhita Shaik; Rahul Kashyap; Sahith Reddy Thotamgari; Romil Singh; Sahil Khanna
33092203,Clustering on Human Microbiome Sequencing Data: A Distance-Based Unsupervised Learning Model.,"Modeling and analyzing human microbiome allows the assessment of the microbial community and its impacts on human health. Microbiome composition can be quantified using 16S rRNA technology into sequencing data, which are usually skewed and heavy-tailed with excess zeros. Clustering methods are useful in personalized medicine by identifying subgroups for patients stratification. However, there is currently a lack of standardized clustering method for the complex microbiome sequencing data. We propose a clustering algorithm with a specific beta diversity measure that can address the presence-absence bias encountered for sparse count data and effectively measure the sample distances for sample stratification. Our distance measure used for clustering is derived from a parametric based mixture model producing sample-specific distributions conditional on the observed operational taxonomic unit (OTU) counts and estimated mixture weights. The method can provide accurate estimates of the true zero proportions and thus construct a precise beta diversity measure. Extensive simulation studies have been conducted and suggest that the proposed method achieves substantial clustering improvement compared with some widely used distance measures when a large proportion of zeros is presented. The proposed algorithm was implemented to a human gut microbiome study on Parkinson's diseases to identify distinct microbiome states with biological interpretations.",Microorganisms,2020,Dongyang Yang; Wei Xu
33076930,Gut bacterial deamination of residual levodopa medication for Parkinson's disease.,"Parkinson's disease (PD) is a progressive neurodegenerative disorder characterized by both motor and non-motor symptoms. Gastrointestinal tract dysfunction is one of the non-motor features, where constipation is reported as the most common gastrointestinal symptom. Aromatic bacterial metabolites are attracting considerable attention due to their impact on gut homeostasis and host's physiology. In particular, Clostridium sporogenes is a key contributor to the production of these bioactive metabolites in the human gut.Here, we show that C. sporogenes deaminates levodopa, the main treatment in Parkinson's disease, and identify the aromatic aminotransferase responsible for the initiation of the deamination pathway. The deaminated metabolite from levodopa, 3-(3,4-dihydroxyphenyl)propionic acid, elicits an inhibitory effect on ileal motility in an ex vivo model. We detected 3-(3,4-dihydroxyphenyl)propionic acid in fecal samples of Parkinson's disease patients on levodopa medication and found that this metabolite is actively produced by the gut microbiota in those stool samples.Levodopa is deaminated by the gut bacterium C. sporogenes producing a metabolite that inhibits ileal motility ex vivo. Overall, this study underpins the importance of the metabolic pathways of the gut microbiome involved in drug metabolism not only to preserve drug effectiveness, but also to avoid potential side effects of bacterial breakdown products of the unabsorbed residue of medication.",BMC biology,2020,Sebastiaan P van Kessel; Hiltje R de Jong; Simon L Winkel; Sander S van Leeuwen; Sieger A Nelemans; Hjalmar Permentier; Ali Keshavarzian; Sahar El Aidy
33046051,Using data science for medical decision making case: role of gut microbiome in multiple sclerosis.,"A decade ago, the advancements in the microbiome data sequencing techniques initiated the development of research of the microbiome and its relationship with the host organism. The development of sophisticated bioinformatics and data science tools for the analysis of large amounts of data followed. Since then, the analyzed gut microbiome data, where microbiome is defined as a network of microorganisms inhabiting the human intestinal system, has been associated with several conditions such as irritable bowel syndrome - IBS, colorectal cancer, diabetes, obesity, and metabolic syndrome, and lately in the study of Parkinson's and Alzheimer's diseases as well. This paper aims to provide an understanding of differences between microbial data of individuals who have been diagnosed with multiple sclerosis and those who were not by exploiting data science techniques on publicly available data.This study examines the relationship between multiple sclerosis (MS), an autoimmune central nervous system disease, and gut microbial community composition, using the samples acquired by 16s rRNA sequencing technique. We have used three different sets of MS samples sequenced during three independent studies (Jangi et al, Nat Commun 7:1-11, 2016), (Miyake et al, PLoS ONE 10:0137429, 2015), (McDonald et al, Msystems 3:00031-18, 2018) and this approach strengthens our results. Analyzed sequences were from healthy control and MS groups of sequences. The extracted set of statistically significant bacteria from the (Jangi et al, Nat Commun 7:1-11, 2016) dataset samples and their statistically significant predictive functions were used to develop a Random Forest classifier. In total, 8 models based on two criteria: bacteria abundance (at six taxonomic levels) and predictive functions (at two levels), were constructed and evaluated. These include using taxa abundances at different taxonomy levels as well as predictive function analysis at different hierarchical levels of KEGG pathways.The highest accuracy of the classification model was obtained at the genus level of taxonomy (76.82%) and the third hierarchical level of KEGG pathways (70.95%). The second dataset's 18 MS samples (Miyake et al, PLoS ONE 10:0137429, 2015) and 18 self-reported healthy samples from the (McDonald et al, Msystems 3:00031-18, 2018) dataset were used to validate the developed classification model. The significance of this step is to show that the model is not overtrained for a specific dataset but can also be used on other independent datasets. Again, the highest classification model accuracy for both validating datasets combined was obtained at the genus level of taxonomy (70.98%) and third hierarchical level of KEGG pathways (67.24%). The accuracy of the independent set remained very relevant.Our results demonstrate that the developed classification model provides a good tool that can be used to suggest the presence or absence of MS condition by collecting and analyzing gut microbiome samples. The accuracy of the model can be further increased by using sequencing methods that allow higher taxa resolution (i.e. shotgun metagenomic sequencing).",BMC medical informatics and decision making,2020,Jasminka Hasic Telalovic; Azra Music
32999308,"DJ-1 (Park7) affects the gut microbiome, metabolites and the development of innate lymphoid cells (ILCs).","The proper communication between gut and brain is pivotal for the maintenance of health and, dysregulation of the gut-brain axis can lead to several clinical disorders. In Parkinson's disease (PD) 85% of all patients experienced constipation many years before showing any signs of motor phenotypes. For differential diagnosis and preventive treatment, there is an urgent need for the identification of biomarkers indicating early disease stages long before the disease phenotype manifests. DJ-1 is a chaperone protein involved in the protection against PD and genetic mutations in this protein have been shown to cause familial PD. However, how the deficiency of DJ-1 influences the risk of PD remains incompletely understood. In the present study, we provide evidence that DJ-1 is implicated in shaping the gut microbiome including; their metabolite production, inflammation and innate immune cells (ILCs) development. We revealed that deficiency of DJ-1 leads to a significant increase in two specific genera/species, namely Alistipes and Rikenella. In DJ-1 knock-out (DJ-1<sup>-/-</sup>) mice the production of fecal calprotectin and MCP-1 inflammatory proteins were elevated. Fecal and serum metabolic profile showed that malonate which influences the immune system was significantly more abundant in DJ-1<sup>-/-</sup> mice. DJ-1 appeared also to be involved in ILCs development. Further, inflammatory genes related to PD were augmented in the midbrain of DJ-1<sup>-/-</sup> mice. Our data suggest that metabolites and inflammation produced in the gut could be used as biomarkers for PD detection. Perhaps, these metabolites and inflammatory mediators could be involved in triggering inflammation resulting in PD pathology.",Scientific reports,2020,Yogesh Singh; Christoph Trautwein; Achal Dhariwal; Madhuri S Salker; Md Alauddin; Laimdota Zizmare; Lisann Pelzl; Martina Feger; Jakob Admard; Nicolas Casadei; Michael Föller; Vivek Pachauri; David S Park; Tak W Mak; Julia-Stefanie Frick; Diethelm Wallwiener; Sara Y Brucker; Florian Lang; Olaf Riess
32987656,The Pathology of Parkinson's Disease and Potential Benefit of Dietary Polyphenols.,"Parkinson's disease (PD) is a progressive neurodegenerative disorder that is characterized by a loss of dopaminergic neurons, leading to bradykinesia, rigidity, tremor at rest, and postural instability, as well as non-motor symptoms such as olfactory impairment, pain, autonomic dysfunction, impaired sleep, fatigue, and behavioral changes. The pathogenesis of PD is believed to involve oxidative stress, disruption to mitochondria, alterations to the protein α-synuclein, and neuroinflammatory processes. There is currently no cure for the disease. Polyphenols are secondary metabolites of plants, which have shown benefit in several experimental models of PD. Intake of polyphenols through diet is also associated with lower PD risk in humans. In this review, we provide an overview of the pathology of PD and the data supporting the potential neuroprotective capacity of increased polyphenols in the diet. Evidence suggests that the intake of dietary polyphenols may inhibit neurodegeneration and the progression of PD. Polyphenols appear to have a positive effect on the gut microbiome, which may decrease inflammation that contributes to the disease. Therefore, a diet rich in polyphenols may decrease the symptoms and increase quality of life in PD patients.","Molecules (Basel, Switzerland)",2020,Sunisha Aryal; Taylor Skinner; Bronwyn Bridges; John T Weber
32982910,Gut-Brain Axis: Potential Factors Involved in the Pathogenesis of Parkinson's Disease.,"Increasing evidence suggests an association between gastrointestinal (GI) disorders and susceptibility and progress of Parkinson's disease (PD). Gut-brain axis has been proposed to play important roles in the pathogenesis of PD, though the exact pathophysiologic mechanism has yet to be elucidated. Here, we discuss the common factors involved in both PD and GI disorders, including genes, altered gut microbiota, diet, environmental toxins, and altered mucosal immunity. Large-scale prospective clinical studies are needed to define the exact relationship between dietary factors, microbiome, and genetic factors in PD. Identification of early diagnostic markers and demonstration of the efficacy of diet modulation and regulation of gut microbiome through specific therapeutics can potentially change the treatment paradigm for PD.",Frontiers in neurology,2020,Yin-Xia Chao; Muhammad Yaaseen Gulam; Nicholas Shyh Jenn Chia; Lei Feng; Olaf Rotzschke; Eng-King Tan
32834004,Predictive analysis methods for human microbiome data with application to Parkinson's disease.,"Microbiome data consists of operational taxonomic unit (OTU) counts characterized by zero-inflation, over-dispersion, and grouping structure among samples. Currently, statistical testing methods are commonly performed to identify OTUs that are associated with a phenotype. The limitations of statistical testing methods include that the validity of p-values/q-values depend sensitively on the correctness of models and that the statistical significance does not necessarily imply predictivity. Predictive analysis using methods such as LASSO is an alternative approach for identifying associated OTUs and for measuring the predictability of the phenotype variable with OTUs and other covariate variables. We investigate three strategies of performing predictive analysis: (1) LASSO: fitting a LASSO multinomial logistic regression model to all OTU counts with specific transformation; (2) screening+GLM: screening OTUs with q-values returned by fitting a GLMM to each OTU, then fitting a GLM model using a subset of selected OTUs; (3) screening+LASSO: fitting a LASSO to a subset of OTUs selected with GLMM. We have conducted empirical studies using three simulation datasets generated using Dirichlet-multinomial models and a real gut microbiome data related to Parkinson's disease to investigate the performance of the three strategies for predictive analysis. Our simulation studies show that the predictive performance of LASSO with appropriate variable transformation works remarkably well on zero-inflated data. Our results of real data analysis show that Parkinson's disease can be predicted based on selected OTUs after the binary transformation, age, and sex with high accuracy (Error Rate = 0.199, AUC = 0.872, AUPRC = 0.912). These results provide strong evidences of the relationship between Parkinson's disease and the gut microbiome.",PloS one,2020,Mei Dong; Longhai Li; Man Chen; Anthony Kusalik; Wei Xu
